full_site_address,Latitude,Longitude,display_name,actual_latitude,actual_longitude,nearby_businesses_count,business_names
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",40.281186,-78.8627293,All Washed Up Auto Spa,40.281186,-78.8627293,3,"AutoZone Auto Parts, Repeat Boutique, State Farm Insurance Agent"
"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",40.4096318,-79.8993024,All Washed Up Auto Spa,40.4096318,-79.8993024,0,
"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",39.9105773,-79.7474519,All Washed Up Auto Spa,39.9105773,-79.7474519,0,
"Aloha Car Wash Bothell , 17818 Bothell Everett Hwy , Bothell , WA , 98012",47.8359328,-122.2121577,Aloha Car Wash Company,47.835932799999995,-122.21215769999999,1,Top Shelf Espresso
"Aloha Car Wash Woodinville , 13001 NE 177th Pl , Woodinville , WA , 98072",47.7553696,-122.1661391,Aloha Car Wash Company,47.755369599999995,-122.16613910000001,1,"Terraphase Engineering, Inc."
"Alpine Express , 2235 Alpine Blvd , Alpine , CA , 91901",32.8352883,-116.7654836,Shell,32.8352903,-116.76550460000001,3,"ATM, Marieta's Mexican Food, Coinsource Bitcoin ATM"
"Alpine Wash , 250 S Denton Tap Rd , Coppell , TX , 75019",32.9641433,-96.9930085,Alpine Car Wash,32.964143299999996,-96.9930085,1,Valvoline Instant Oil Change
"Alton Town Center , 5200 Donald Ross Rd , Palm Beach Gardens , FL , 33418",26.8819403,-80.1164588,ERROR,ERROR,ERROR,ERROR,ERROR
"Amaranth , 200 W Amaranth Ln , Lincoln , NE , 68523",40.7445062,-96.7255223,Soapatopia Car Wash,40.7441566,-96.7249173,2,"Jeannie's Kitchen, U-Stop Convenience Shop"
"American Pride Garner , 1421 US-70 , Garner , NC , 27529",35.722175,-78.64549,American Pride Xpress Car Wash,35.722175,-78.64549,0,
"American Pride Glenwood , 6450 Glenwood Ave , Raleigh , NC , 27612",35.858959,-78.7056567,American Pride Xpress Carwash,35.858959,-78.70565669999999,1,Taco Bell
"American Pride Newbern , 3810 New Bern Ave , Raleigh , NC , 27610",35.79766,-78.5752657,American Pride Car Wash,35.79766,-78.5752657,2,"New Bern Ave at Plainview Dr, Zippy Lube"
"American Pride Six Forks , 8909 Six Forks Rd , Raleigh , NC , 27615",35.9021523,-78.6532466,American Pride Xpress Carwash,35.9021523,-78.6532466,0,
"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",35.5195152,-78.3146416,American Pride Xpress Car Wash,35.5195152,-78.3146416,0,
"Annau0027s Car Wash , 2332 Legacy Circle , Elizabeth , CO , 80107",39.3604653,-104.6205128,Anna's Car and Dog Wash,39.3604844,-104.6204657,0,
"Apple Wu0026L , 22355 Bellaire Blvd , Richmond , TX , 77407",29.6913423,-95.7670162,Apple Car Wash & Lube Center,29.691397199999997,-95.7668121,2,"ELITE FIREWORKS Mega Stand, Apple Lube Express"
"Aqua Blue , 85 Peachtree Industrial Blvd , Sugar Hill , GA , 30518",34.0762511,-84.0602463,Aqua Blue Car Wash,34.076200899999996,-84.06035659999999,0,
"Aqua Blue Duluth , 1097 Duluth Hwy , Lawrenceville , GA , 30043",33.9686995,-84.0368456,Aqua Blue Car Wash,33.9686995,-84.03684559999999,2,"FunAthon Indoor Playground & Party Center, Advance Auto Parts"
"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",34.1971313,-84.7921299,Aqua Breeze Car Wash,34.197131299999995,-84.79212989999999,2,"CARTERSVILLE BAR -B-Q, Cartersville BBQ"
"Aqua Bubble Car Wash , 5860 Bethelview Rd , Cumming , GA , 30040",34.1666588,-84.177562,Aqua Bubble Car Wash,34.1666588,-84.177562,1,Enterprise Rent-A-Car
"Arco Wash , 4433 Lancaster Dr NE , Salem , OR , 97305",44.9834269,-122.9838017,Splash wash,44.9836135,-122.98408620000001,5,"Churros Tony's, ampm, LibertyX Bitcoin ATM, Arco, Northwest Retail"
"Atlantic Blvd , 8714 Atlantic Blvd , Jacksonville , FL , 32211",30.3135949,-81.565618,LUV Car Wash,30.313602399999994,-81.5656197,0,
"Atlantic Express , 7700 Atlantic Ave , Cudahy , CA , 90201",33.9654069,-118.1865354,Atlantic Express Car Wash,33.9653476,-118.18644399999998,2,"4 D's Fabrics, Latinas Art Foundation"
"Auto Paradise Car Wash , 1402 E Vine St , Kissimmee , FL , 34744",28.30373,-81.388079,Auto Paradise Car Wash,28.303729999999998,-81.38807899999999,9,"iStorage, DmPedicure Florida, Farmers Insurance - Aston Banton, Farmers Insurance, Toyo perro1, El Primo Mexican Food Truck, Sways Smoke Shop, K CHICKEN, Ciscolicious cuisine food truck"
"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",40.3402231,-76.4568065,AutoSuds West Car Wash,40.340223099999996,-76.4568065,2,"Litz Co, Los Santos Auto LLC..1 STOP 1 SHOP LLC"
"AutoBrite Express , 211 N Cooper Dr , Henderson , NC , 27536",36.3328772,-78.4411117,"AutoBrite Car Washes, Inc.",36.332877200000006,-78.4411117,0,
"Autobahn Auto Care Center , 3928 W Clearwater Ave , Kennewick , WA , 99336",46.21267,-119.1737336,Autobahn Auto Care Center,46.212669999999996,-119.17373359999998,3,"Mobil 1 Lube Express, Sherwin-Williams Paint Store, Dutch Bros Coffee"
"Autobahn Express , 1225 Guyer Ave , Richland , WA , 99352",46.2830987,-119.2748079,Autobahn Express,46.2830987,-119.27480789999998,0,
"Autosoak , 18711 S Gardner Rd , Gardner , KS , 66030",38.7887778,-94.9270292,Autosoak Car Wash,38.7887778,-94.92702919999999,0,
"Autosport Car Wash , 6628 Whittlesey Blvd , Columbus , GA , 31909",32.549643,-84.9331716,Autosport Wash,32.549963,-84.9328761,0,
"Avatar , 1623 S Poinciana Blvd , Kissimmee , FL , 34758",28.257958,-81.485298,Waters Car Wash,28.258311199999998,-81.4856547,0,
"Aztec , 1520 Aztec Blvd , Aztec , NM , 87410",36.8263159,-108.0119144,Champion Xpress Carwash,36.826274,-108.01207199999999,0,
"B3 Car Wash , 611 Tenaha St , Center , TX , 75935",31.8038311,-94.1867481,Express Car Wash,31.8038127,-94.18675759999999,1,Planetary IT
"BBCW , 6603 Jog Rd , Boca Raton , FL , 33496",26.4084521,-80.1469143,Cool Clean Car Wash,26.408502499999997,-80.1468811,9,"Boca's Best Car Wash, RockItCoin Bitcoin ATM, Valero, Lang Realty - Real Estate Agents, Central Boca Raton, The Morris Group at Lang Realty, H Brad Ress at Lang Realty, Caroline Greenhouse, PA - Broker Associate, Stephanie Kaufman Realtor, Shivali Dua, Realtor – Florida Real Estate"
"BDPu0027s Kwapa Car Wash , 3200 W Casino Dr , Somerton , AZ , 85350",32.6101385,-114.6549997,B.D.P 's Kwapa Kar Wash,32.6101385,-114.6549997,0,
"BELMONT CAR WASH , 5594 E Belmont Ave , Fresno , CA , 93727",36.7500846,-119.7007336,Belmont Car Wash & Marketplace,36.7500846,-119.70073359999999,2,"Belmont Marketplace, Citibank ATM"
