full_site_address,Latitude,Longitude,car_wash_name,distance_from_original_location,car_wash_address,nearest_business_name_1,nearest_business_address_1,distance_car_wash_nearest_business_1,nearest_business_name_2,nearest_business_address_2,distance_car_wash_nearest_business_2,nearest_business_name_3,nearest_business_address_3,distance_car_wash_nearest_business_3,nearest_business_name_4,nearest_business_address_4,distance_car_wash_nearest_business_4,nearest_business_name_5,nearest_business_address_5,distance_car_wash_nearest_business_5,multiple_business_count
"Big Peach Ola , 3479 Hwy 81 , McDonough , GA , 30252",33.4366472,-84.0385491,Big Peach Car Wash,4.39515090988607e-13,"3555 Hwy 81, McDonough, GA 30252, USA",Great Clips,"3471 Hwy 81, McDonough, GA 30252, USA",0.015172767861989775,"Andrea Brown, MD","3459 Hwy 81, McDonough, GA 30252, USA",0.0315863351048379,"Hannah Griggs, NP","3459 Hwy 81, McDonough, GA 30252, USA",0.0315863351048379,81 North Kitchen and Tap,"3503 Hwy 81, McDonough, GA 30252, USA",0.059358384139023494,The Healthy Pet Veterinary Clinic,"3491 Hwy 81, McDonough, GA 30252, USA",0.07180035537630589,0
"Big Peach Tallahassee , 3738 N Monroe St , Tallahassee , FL , 32303",30.4993414,-84.3280511,Big Peach Car Wash,0.05398753506320254,"3770 N Monroe St, Tallahassee, FL 32303, USA",Take 5 Oil Change,"3811 N Monroe St, Tallahassee, FL 32303, USA",0.03931860350892255,N Monroe Street and Reservation Trail,"Florida 32303, USA",0.045123334298603865,AutoZone Auto Parts,"3710 N Monroe St, Tallahassee, FL 32303, USA",0.048417342323908694,Dollar General,"3802 N Monroe St, Tallahassee, FL 32303, USA",0.050591854313911507,Advance Auto Parts,"3767 N Monroe St, Tallahassee, FL 32303, USA",0.05336415493308351,0
"Big River Selma , 2409 N Broad St , Selma , AL , 36701",32.4325392,-87.0249312,Big River Car Wash,0.0,"2409 N Broad St, Selma, AL 36701, USA","GH Parts & Components, Inc.","2409 N Broad St, Selma, AL 36701, USA",0.005814149070603905,Sonic Drive-In,"2407 N Broad St, Selma, AL 36701, USA",0.03254870224663469,Rice Banking Co,"2413 N Broad St, Selma, AL 36701, USA",0.038851905161982385,TopTier Events & Creations,"2413 N Broad St, Selma, AL 36701, USA",0.043366842922397814,World Finance,"2412 N Broad St, Selma, AL 36701, USA",0.057350211798369216,1
"Big River Troy , 1221 US-231 , Troy , AL , 36081",31.7801113,-85.949913,Big River Car Wash,0.0,"1221 US-231, Troy, AL 36081, USA",Nail City,"Nail City, Troy, AL 36079, USA",0.012800014768551013,China Town,"1247 US-231, Troy, AL 36079, USA",0.01636817152627003,Coco Beauty Supply,"1235 US-231, Troy, AL 36081, USA",0.017876988869849387,Los Hermanos Mexican Restaurant,"1251 US-231, Troy, AL 36081, USA",0.01872719607042209,Troy Marketplace,"1261 US-231, Troy, AL 36081, USA",0.019400546617832807,0
"Big Sammyu0027s Car Wash Maple Shade , 491 Route 38 W , Maple Shade Township , NJ , 8052",39.9427639,-74.9901153,Big Sammy's Car Wash,0.009581540338919784,"491 NJ-38, Maple Shade, NJ 08052, USA",Campbell Federal Credit Union,"494 NJ-38 East, Maple Shade, NJ 08052, USA",0.04937921951689791,Caliber Collision,"489 NJ-38, Maple Shade, NJ 08052, USA",0.05360314576149919,Spa Hearth & Home,"492 NJ-38, Maple Shade, NJ 08052, USA",0.07294154620840936,South Jersey Welding Supply,"496 NJ-38, Maple Shade, NJ 08052, USA",0.08281765224418863,TYME 2 Shine,"2000 Maplewood Dr, Mt Laurel Township, NJ 08054, USA",0.08352013071927121,0
"Big Sammyu0027s Car Wash Marlton , 801 Rte 70 W , Evesham , NJ , 8053",39.8970491,-74.9414306,Big Sammy's Car Wash,0.047580855495960375,"801 Rte 70 W, Marlton, NJ 08053, USA",Enlighten Dispensary,"781 Rte 70 W, Marlton, NJ 08053, USA",0.049057742260108964,G & Z Handyman,"785 Rte 70 W, Marlton, NJ 08053, USA",0.05083228272569794,Blink Charging Station,"800 Rte 70 W, Marlton, NJ 08053, USA",0.0531834996385398,Dunkin',"901 Old Marlton Pike, Marlton, NJ 08053, USA",0.054925468033842316,DMR Kitchen & Bath,"903 Rte 70 W, Marlton, NJ 08053, USA",0.06104658322957946,0
"Blanding u0026 Hyde , 3510 Blanding Blvd , Jacksonville , FL , 32210",30.2717024,-81.7360349,Gate Express Carwash,0.010136506209341558,"3510 Blanding Blvd, Jacksonville, FL 32210, USA",Autograf Tattoo,"3537 Blanding Blvd, Jacksonville, FL 32210, USA",0.05477038649810265,Blanding Blvd. & Cedar Park Ln.,"Jacksonville, FL 32210, USA",0.05987537931005448,Redbox,"3552 Blanding Blvd, Jacksonville, FL 32210, USA",0.06572256739834517,Twin Terminals Technology,"5785 Wilson Blvd #4a, Jacksonville, FL 32210, USA",0.06674291100301429,Sumlin Motorsports LLC,"5785 Wilson Blvd, Jacksonville, FL 32210, USA",0.06674291100301429,0
"Blanding , 580 Blanding Blvd , Orange Park , FL , 32073",30.1522001,-81.7514299,LUV Car Wash,0.025430822848318047,"580 Blanding Blvd, Orange Park, FL 32073, USA",Golden Corral Buffet & Grill,"582 Blanding Blvd, Orange Park, FL 32073, USA",0.019304730606422075,Russ Vorhis - State Farm Insurance Agent,"589 Blanding Blvd, Orange Park, FL 32073, USA",0.058422359938525834,BJ's Gas Station,"560 Blanding Blvd, Orange Park, FL 32073, USA",0.06471411787761934,Solano Cycle of Orange Park,"593 Blanding Blvd, Orange Park, FL 32073, USA",0.06639455780011133,Extra Space Storage,"600 Blanding Blvd, Orange Park, FL 32073, USA",0.06849487328218223,0
"Blast Car Wash , 2525 Horizon Rd , Rockwall , TX , 75032",32.8909047,-96.4692847,Blast Car Wash,7.38126987483137e-13,"2525 Horizon Rd, Rockwall, TX 75032, USA",Hairitage Barber Stylist,"2525 Horizon Rd Suite B, Rockwall, TX 75032, USA",0.003917972356942465,Kwik Dry Cleaning Super Center,"2501 Horizon Rd, Rockwall, TX 75032, USA",0.03616632652691917,Kwik Kar Oil Change & Auto Care,"2581 Horizon Rd, Rockwall, TX 75032, USA",0.042422898160226485,Horizon Rd Oil Depot,"2581 Horizon Rd, Rockwall, TX 75032, USA",0.042422898160226485,Lowe's ProServices,"851 N Steger, Town N Dr, Rockwall, TX 75032, USA",0.06145865168282507,0
"Blu Palm Express , 8403 S Tamiami Trail , Sarasota , FL , 34238",27.2290689,-82.4937818,Blu Palm Express Car Wash,2.197575454943035e-13,"8403 S Tamiami Trl, Sarasota, FL 34238, USA",Sarasota Sliding Glass Door's Repair / Installation,"8429 S Tamiami Trl, Sarasota, FL 34238, USA",0.021698273465282206,Hair by Rachel,"8393 S Tamiami Trl, Sarasota, FL 34238, USA",0.026208746128233925,higi,"8409 S Tamiami Trl, Sarasota, FL 34238, USA",0.03318929592119625,Dunkin',"8445 S Tamiami Trl, Sarasota, FL 34238, USA",0.03350730806706758,Sun Glow One Stop,"8445 S Tamiami Trl, Sarasota, FL 34238, USA",0.034106258142505494,0
"Blu Wave Express Wash , 306 E Franklin St , Sylvester , GA , 31791",31.5301708,-83.8334232,Blu Waye Express Wash,4.39515090988607e-13,"306 E Franklin St, Sylvester, GA 31791, USA",A Lil Taste of New Orleans,"406 N Westberry St, Sylvester, GA 31791, USA",0.026257932631919927,Jeffords Park,"501 N Westberry St, Sylvester, GA 31791, USA",0.11131770612926484,Access Medical Clinic: Sylvester (Urgent Care),"304 N Westberry St, Sylvester, GA 31791, USA",0.04965254711812581,Worth County Building & Zoning,"299-237, US-82, Sylvester, GA 31791, USA",0.05369915665607889,Prince Beauty,"305 E Franklin St, Sylvester, GA 31791, USA",0.05547479734306114,0
"Bluu0027s Flex Serve Car Wash , 420 S Main St , Lumberton , TX , 77657",30.2490469,-94.1977178,Blu's Car Wash,0.007985068933716167,"420 S Main St, Lumberton, TX 77657, USA",Lamar State College Orange - Lumberton Campus,"344 S Main St, Lumberton, TX 77657, USA",0.0541051069779719,Coinstar Kiosk,"Retail Investors of Texas Ltd, 421 S Main St, Lumberton, TX 77657, USA",0.05834047713929432,Main Street Veterinary Clinic,"500 S Main St, Lumberton, TX 77657, USA",0.07787552835548675,Tobacco Barn,"425 S Main St, Lumberton, TX 77657, USA",0.08019589228049491,Wells Fargo ATM,"435 S Main St, Lumberton, TX 77657, USA",0.08408149755752127,0
"BluWave Car Wash , 17001 Three Oaks Marketplace Dr , Fort Myers , FL , 33912",26.4935389,-81.804652,BluWave Car Wash,1.5887094198257535e-12,"17001 Three Oaks Mkt Pl, Fort Myers, FL 33912, USA",Starbucks,"17021 Three Oaks Mkt Pl, Fort Myers, FL 33912, USA",0.06921707739908638,Minute Key,"16972 Three Oaks Pkwy, Fort Myers, FL 33912, USA",0.1062410386560505,Lee County Utilities Water Distribution,"17101 Oriole Rd, Fort Myers, FL 33967, USA",0.11549441309882984,Wawa,"16971 Aaron Warnek Place, Fort Myers, FL 33912, USA",0.126032613404378,PNC ATM,"16971 Aaron Warnek Pl, Fort Myers, FL 33912, USA",0.13188992195043756,0
"Blue Cow Car Wash , 10 Commons Way , Kalispell , MT , 59901",48.219462,-114.3299388,Blue Cow Car Wash,0.0,"10 Commons Way, Kalispell, MT 59901, USA",Northridge Heights Church God,"1970 US-93, Kalispell, MT 59901, USA",0.020349145017352955,Kali Digital Web Design,"40 Commons Way, Kalispell, MT 59901, USA",0.02048743409678759,Taxed Right Consulting LLC,"30 Commons Way, Kalispell, MT 59901, USA",0.022259547196072826,Sprouts Club Drop In Playcare LLC,"40 Commons Way, Kalispell, MT 59901, USA",0.028090796526189794,Mountain Valley Foods,"25 Commons Way, Kalispell, MT 59901, USA",0.0364371407992981,0
"Blue Diamond , 4620 Blue Diamond Rd , Las Vegas , NV , 89139",36.0347605,-115.2045513,LUV Car Wash,1.4216735244858208e-12,"4620 Blue Diamond Rd, Las Vegas, NV 89139, USA",Precision Armory,"4610 Blue Diamond Rd, Las Vegas, NV 89139, USA",0.024106295820088487,MassageLuXe Las Vegas,"4730 Blue Diamond Rd s 115, Las Vegas, NV 89139, USA",0.036944768461125,"ATM (ATM Link, Inc.)","4730 Blue Diamond Rd #100, Las Vegas, NV 89139, USA",0.036944768461125,Cosmo Prof,"4730 Blue Diamond Rd, Las Vegas, NV 89139, USA",0.036944768461125,Crimson Rose Salon,"4730 Blue Diamond Rd Suite 130-135, Las Vegas, NV 89139, USA",0.045450838602824326,0
"Blue Iguana Chestnut , 3316 W Chestnut Expy , Springfield , MO , 65802",37.211697,-93.345945,Blue Iguana Car Wash,0.0,"3316 W Chestnut Expy, Springfield, MO 65802, USA",Dunkin',"3310 W Chestnut Expy, Springfield, MO 65802, USA",0.052524711492802204,Chestnut Expy & West Bypass (SE),"Springfield, MO 65802, USA",0.06832609098531643,Lilly's Custom Floral of Springfield - S. National Ave.,"335 N Nolting Ave, Springfield, MO 65802, USA",0.0712602203565665,King Food Saver of Springfield - N. Nolting Ave.,"335 N Nolting Ave, Springfield, MO 65802, USA",0.07237509042148804,Ozark Sandblasting,"3411 W Chestnut Expy, Springfield, MO 65802, USA",0.07145256711613558,0
"Blue Iguana East Kearney , 2118 E Kearney St , Springfield , MO , 65803",37.2393803,-93.2540651,Blue Iguana Car Wash,6.998083919339916e-13,"2118 E Kearney St, Springfield, MO 65803, USA",US Bank Mortgage,"2062 E Kearney St, Springfield, MO 65803, USA",0.03157300581740013,U.S. Bank-Mortgage Loan Originator-Lisa Traulsen,"2062 E Kearney St, Springfield, MO 65803, USA",0.03162848940810916,U.S. Bank Branch,"2062 E Kearney St, Springfield, MO 65803, USA",0.03162848940810916,U.S. Bank ATM - Springfield Kearney,"2062 E Kearney St, Springfield, MO 65803, USA",0.034126413978872575,O'Reilly Auto Parts,"2136 E Kearney St, Springfield, MO 65803, USA",0.05800975240121133,0
"Blue Iguana S. Campbell , 3155 S Campbell Ave , Springfield , MO , 65807",37.15703,-93.2966737,Blue Iguana Car Wash,0.0,"3155 S Campbell Ave, Springfield, MO 65807, USA",Kuick Noodles,"3165 S Campbell Ave, Springfield, MO 65807, USA",0.025944224581607497,Healing Oriental Massage,"3165 S Campbell Ave b-6, Springfield, MO 65807, USA",0.02766174073643753,Elite Skincare,"3165 S Campbell Ave #B7, Springfield, MO 65807, USA",0.033805317695814005,B Ink'd Tattoo Studio,"3165 S Campbell Ave #4, Springfield, MO 65807, USA",0.033805317695814005,Oracle Ink Studio,"3165 S Campbell Ave c6, Springfield, MO 65807, USA",0.033810185857677304,0
"Blue Iguana South Fremont , 4304 S Fremont Ave , Springfield , MO , 65804",37.1353132,-93.2716546,Blue Iguana Car Wash,1.4015468209994316e-12,"4304 S Fremont Ave, Springfield, MO 65804, USA",Vogue Cleaners,"4328 S Fremont Ave, Springfield, MO 65804, USA",0.027943863677613697,Propel Fitness Center,"1440 E Lark St a, Springfield, MO 65804, USA",0.03421372890083858,Springfield Motor Company,"1440 E Lark St suite h, Springfield, MO 65804, USA",0.03694255264489128,Divine Soulutions,"1440 E Lark St suite b, Springfield, MO 65804, USA",0.043942750600044704,The Auto Shoppe,"1440 E Lark St Suite D, Springfield, MO 65804, USA",0.043942750600044704,0
"Blue Iguana Sunshine , 1640 E Sunshine St , Springfield , MO , 65804",37.1810398,-93.2653512,Blue Iguana Car Wash,0.0,"1640 E Sunshine St, Springfield, MO 65804, USA",Hong Kong Inn Restaurant,"1632 E Sunshine St, Springfield, MO 65804, USA",0.0169498039689772,Traffic Law Center - Springfield,"1650 E Sunshine St, Springfield, MO 65804, USA",0.02433591736954618,Feedback School of Music,"1658 E Sunshine St, Springfield, MO 65804, USA",0.02537502302258095,A1 Premium Acceptance,"1662 E Sunshine St, Springfield, MO 65804, USA",0.027399782188425943,Frequent Capital,"1829 S Kentwood Ave Suite 108, Springfield, MO 65804, USA",0.03290708815411858,0
"Blue Iguana West Kearney , 1137 W Kearney St , Springfield , MO , 65803",37.241265,-93.304637,Blue Iguana Car Wash,0.0,"1137 W Kearney St, Springfield, MO 65803, USA",Freeway Ministries,"1041 W Kearney St, Springfield, MO 65803, USA",0.039628422912972645,Sunshine 1,"1207 W Kearney St, Springfield, MO 65803, USA",0.043943810822339814,Conoco,"1207 W Kearney St, Springfield, MO 65803, USA",0.04755392689518435,LendNation,"1200 W Kearney St, Springfield, MO 65803, USA",0.058305264735721,McDonald's,"1114 W Kearney St, Springfield, MO 65803, USA",0.06423485319546295,0
"Blue Jay Car Wash , 2625 S McCall Rd , Englewood , FL , 34224",26.9341751,-82.3158497,,,,,,,,,,,,,,,,,,,0
"Blue Penguin Douglasville , 5897 Fairburn Rd , Douglasville , GA , 30134",33.7515279,-84.7264667,Blue Penguin Car Wash,0.0,"5897 Fairburn Rd, Douglasville, GA 30134, USA",Douglas Village Shopping Center,"Douglas Village Shopping Center, 5888 Fairburn Rd, Douglasville, GA 30134, USA",0.049628105636411624,Chick-fil-A,"5888 Fairburn Rd, Douglasville, GA 30134, USA",0.05110254098064278,QuikTrip,"5861 Fairburn Rd, Douglasville, GA 30134, USA",0.06154999887387382,Western Union,"5861 Fairburn Rd, Douglasville, GA 30134, USA",0.06236047438069746,ATL Douglasville,"5861 Fairburn Rd, Douglasville, GA 30135, USA",0.06294520559943698,0
"Blue Penguin Griffin , 1475 N Expy , Griffin , GA , 30223",33.2738091,-84.2918572,Blue Penguin Car Wash,0.0,"1475 N Expy, Griffin, GA 30223, USA",higi,"1475 Expressway North, Griffin, GA 30223, USA",0.003363544766128305,United Bank,"1500 W McIntosh Rd, Griffin, GA 30224, USA",0.023119023106882856,Coinstar Kiosk | Bitcoin ATM,"Wal-Mart, 1569 North Expressway, Griffin, GA 30223, USA",0.0379476849692188,Zaxbys Chicken Fingers & Buffalo Wings,"1504 W McIntosh Rd, Griffin, GA 30223, USA",0.041334229436983776,Sherwin-Williams Paint Store,"1449 N Expy, Griffin, GA 30223, USA",0.056977237668210695,0
"Blue Penguin Marietta , 2204 Roswell Rd , Marietta , GA , 30062",33.970545,-84.4879308,Blue Penguin Car Wash,0.0,"2204 Roswell Rd, Marietta, GA 30062, USA",One Luv Smoke 'n Vape - Marietta | Best Smoke Vape Shop Marietta,"2214 Roswell Rd, Marietta, GA 30062, USA",0.020719479992497982,Lumi's Esthetics LLC,"2200 Roswell Rd Suite 120, Marietta, GA 30062, USA",0.02942473960639522,Bitbox Bitcoin ATM,"2200 Roswell Rd Suite 140, Marietta, GA 30062, USA",0.02942473960639522,"Sam's Paradise Vape, CBD, Smoke, Kratom","2200 Roswell Rd Suite 140, Marietta, GA 30062, USA",0.02942473960639522,American Pediatric Consultants,"2215 Roswell Rd, Marietta, GA 30062, USA",0.035844652388094055,0
"Blue Rhino Car Wash , 3614 Cobb Pkwy NW , Acworth , GA , 30101",34.0440574,-84.6949093,Blue Rhino Carwash & Emmissions,7.28370859082587e-13,"3614 Cobb Pkwy NW, Acworth, GA 30101, USA",3 Minute Express Wash,"3614 Cobb Pkwy NW, Acworth, GA 30101, USA",0.00967509245712739,Pike Nurseries,"3602 Cobb Pkwy NW, Acworth, GA 30101, USA",0.034909446747035576,Starbucks,"3622 Cobb Pkwy NW, Acworth, GA 30101, USA",0.05070970790115203,Lanscape Design by Pike Nurseries,"3602 Cobb Pkwy NW, Acworth, GA 30101, USA",0.052501384028300506,Tesla Supercharger,"3622 Cobb Pkwy NW, Acworth, GA 30101, USA",0.06294843493952368,1
"Blue Sky Englewood , 3718 S Broadway , Englewood , CO , 80113",39.6490375,-104.9874134,Blue Sky Car Wash,0.000836368426760387,"3718 S Broadway, Englewood, CO 80113, USA",Englewood Applaince Repair,"3712 S Broadway, Englewood, CO 80113, USA",0.005837038254367153,Noon Thai Plus Vegan,"3712 S Broadway, Englewood, CO 80113, USA",0.014518761989843004,Foot Spa and Massage,"3706 S Broadway, Englewood, CO 80113, USA",0.016986441447852288,Thai Food,"E Kenyon Ave, Englewood, CO 80113, USA",0.017508485127610524,All Ray's Vacuum & Lamp Repair,"3740 S Broadway, Englewood, CO 80113, USA",0.017932480186702484,0
"BlueWave Alamo , 1101 US-83 BUS , Alamo , TX , 78516",26.183442,-98.1236973,BlueWave Express Car Wash,0.0,"1101 W U.S. Hwy 83 Business, Alamo, TX 78516, USA",JOE'S General & High Performance Mechanic,"1117 US-83 BUS, Alamo, TX 78516, USA",0.02819716344578035,iGroup,"129 US-83, Alamo, TX 78516, USA",0.039880307788113585,J Repairs,"1029 W US-83 BUS, Alamo, TX 78516, USA",0.041680981698004486,Cell Phone Reapir Center Of Alamo,"Alamo, TX 78516, USA",0.041680981698004486,Lifeheck Drug,"326 N Rudy Villarreal Rd, Alamo, TX 78516, USA",0.04272833174115236,0
"BlueWave Alvin , 2002 E HWY 6 , Alvin , TX , 77511",29.4218032,-95.2267778,BlueWave Express Car Wash,0.0,"2002 E Hwy 6, Alvin, TX 77511, USA",Western Union,"1920 E Hwy 6, Alvin, TX 77511, USA",0.028524480095087717,Discount Tire,"2004 E Hwy 6, Alvin, TX 77511, USA",0.031430966714538176,Grill Master & Shawarma,"1920 Hwy 6, Alvin, TX 77511, USA",0.04468604178764008,Texaco,"1920 E Hwy 6, Alvin, TX 77511, USA",0.04966994412426734,U-Haul Neighborhood Dealer,"1920 E Hwy 6, Alvin, TX 77511, USA",0.049745853577649324,0
"BlueWave Barker Cypress , 11720 Barker Cypress Rd , Cypress , TX , 77433",29.9455795,-95.6766007,BlueWave Express Car Wash,4.39515090988607e-13,"11720 Barker Cypress Rd, Cypress, TX 77433, USA",Stone Gate Center,"11700 Barker Cypress Rd, Cypress, TX 77433, USA",0.019410372825711147,Primo Water Refill,"11700 Barker Cypress Rd, Cypress, TX 77433, USA",0.028428771660804236,Farmers Insurance - Paul Wilson,"11700 Barker Cypress Rd Ste D, Cypress, TX 77433, USA",0.02942261993279605,Vitrum Smoke Shop - Barker Cypress,"11700 Barker Cypress Rd, Cypress, TX 77433, USA",0.030525528736324706,Cypress General Contractor,"11700 Barker Cypress Rd, Cypress, TX 77433, USA",0.030568213932437662,0
"BlueWave Beaumont , 3820 College St , Beaumont , TX , 77701",30.0688039,-94.1328835,BlueWave Express Car Wash,1.5214682516134069e-12,"3820 College St, Beaumont, TX 77701, USA",TenderFix by Noah Schnapp,"3830 College St, Beaumont, TX 77701, USA",0.019370760896812528,Pardon My Cheesesteak,"3830 College St, Beaumont, TX 77701, USA",0.019370760896812528,IHOP,"3830 College St, Beaumont, TX 77701, USA",0.019370760896812528,MLB Ballpark Bites,"3830 College St, Beaumont, TX 77701, USA",0.02002493055324081,"Texas Car Title and Payday Loan Services, Inc.","3810 College St, Beaumont, TX 77701, USA",0.025039030169492466,0
"BlueWave Bibb , 645 South Bibb Ave , Eagle Pass , TX , 78852",28.6989033,-100.484934,BlueWave Express Car Wash,0.001763326150803313,"645 S Bibb Ave, Eagle Pass, TX 78852, USA",HTeaO - Eagle Pass (375 & Indio),"655 S Bibb Ave, Eagle Pass, TX 78852, USA",0.022744641755758466,Chick-fil-A,"635 S Bibb Ave, Eagle Pass, TX 78852, USA",0.02488647900560232,Discount Tire,"665 S Bibb Ave, Eagle Pass, TX 78852, USA",0.03999226489725231,SMT Lines,"600 Farm-To-Market Rd 375, Eagle Pass, TX 78852, USA",0.06380375313370763,D K & M Farm Store Inc,"700 S Bibb Ave A, Eagle Pass, TX 78852, USA",0.06528957667214565,0
"BlueWave Brownsville , 7115 S Padre Island Hwy , Brownsville , TX , 78521",25.9424539,-97.4307416,BlueWave Express Car Wash,1.5809074410284814e-12,"7115 S Padre Island Hwy, Brownsville, TX 78521, USA",Materiales Triple AAA Inc,"7165 Padre Island Hwy, Brownsville, TX 78521, USA",0.05641838318876718,Chopstix Asian Cuisine,"7102 Padre Island Hwy, Brownsville, TX 78521, USA",0.06220093550944774,AutoZone Auto Parts,"7160 Padre Island Hwy, Brownsville, TX 78521, USA",0.06929315064147772,Sais Commercial Systems,"2200 N Minnesota Ave, Brownsville, TX 78521, USA",0.07847383169024869,Minnesota & San Miguel,"Brownsville, TX 78521, USA",0.08030342273900323,0
"BlueWave Brownsville 2 , 2180 Ruben M Torres Blvd , Brownsville , TX , 78526",25.9502732,-97.4829166,BlueWave Express Car Wash,2.197575454943035e-13,"2180 Ruben M Torres Blvd, Brownsville, TX 78526, USA",Ruben Torres @ Village Center,"Brownsville, TX 78526, USA",0.049951814706567066,Murphy USA 7657,"2215 E Ruben M Torres Blvd, Brownsville, TX 78526, USA",0.05190497959454174,Chick-fil-A,"2150 Ruben M Torres Blvd, Brownsville, TX 78526, USA",0.05811307879913132,Fancy Nails,"2155 Ruben M Torres Blvd, Brownsville, TX 78526, USA",0.06920241992056257,Warhammer,"2155 Ruben M Torres Blvd Suite 3, Brownsville, TX 78526, USA",0.06959611534887829,0
"BlueWave Cibolo , 174 W Borgfeld Rd , Cibolo , TX , 78108",29.5725582,-98.2389545,BlueWave Express Car Wash,7.645201535453057e-13,"174 W Borgfeld Rd, Cibolo, TX 78108, USA",Zaxbys Chicken Fingers & Buffalo Wings,"176 W Borgfeld Rd, Cibolo, TX 78108, USA",0.037214843734692624,CityVet | Cibolo Crossing,"784 Cibolo Valley Dr #105, Cibolo, TX 78108, USA",0.04178220769008965,Chipotle Mexican Grill,"872 Cibolo Valley Dr, Cibolo, TX 78108, USA",0.05574032556772328,Credit Human | Buffalo Heights Financial Health Center,"857 Cibolo Valley Dr Suite 232, Cibolo, TX 78108, USA",0.06694310944458273,MOD Pizza,"778 Cibolo Valley Dr Suite #107, Cibolo, TX 78108, USA",0.07051796864920502,0
"BlueWave Cinco Ranch , 24902 FM 1093 , Katy , TX , 77494",29.6986105,-95.8090925,BlueWave Express Car Wash,7.635638800068931e-13,"24902 FM 1093, Katy, TX 77494, USA",Burger King,"24914 FM 1093, Richmond, TX 77406, USA",0.024624319106690717,Coin Cloud Bitcoin ATM,"24940 FM 1093, Katy, TX 77494, USA",0.026936076658429082,Solis Mammography Cinco Ranch,"FM 1093 Suite B, Katy, TX 77494, USA",0.05706315460473298,IVX Health Infusion Center,"24926 FM 1093 Suite. A, Richmond, TX 77406, USA",0.062423917334187326,"Spec's Wines, Spirits & Finer Foods","24940 FM 1093, Katy, TX 77494, USA",0.0968503281685727,0
"BlueWave Conroe , 10345 Highway 242 , Conroe , TX , 77385",30.2091694,-95.4239756,BlueWave Express Car Wash,7.596528635411077e-13,"10345 TX-242, Conroe, TX 77385, USA",Take 5 Oil Change,"10291 TX-242, Conroe, TX 77385, USA",0.02804964758512471,Wendy's,"10377 TX-242, Conroe, TX 77385, USA",0.03355323231203479,Dunkin',"10463 TX-242, Conroe, TX 77385, USA",0.05784943947442681,O'Reilly Auto Parts,"10227 TX-242, Conroe, TX 77385, USA",0.06227628192117566,D'Anyelo Barbershop Conroe,"10463 TX-242 #180, Conroe, TX 77385, USA",0.07104298420434912,0
"BlueWave Del Rio , 2201 Veterans Blvd , Del Rio , TX , 78840",29.3891844,-100.9047145,BlueWave Express Car Wash,0.0,"2201 Veterans Blvd, Del Rio, TX 78840, USA",IHOP,"2203 Veterans Blvd, Del Rio, TX 78840, USA",0.013862086603139485,Інор,"Del Rio, TX 78840, USA",0.02176375831902689,TBH Center,"2115 Veterans Blvd, Del Rio, TX 78840, USA",0.06869323984978437,The Fishing Cowboy,"2200 Veterans Blvd, Del Rio, TX 78840, USA",0.06928863857466022,Burger King,"2204 Veterans Blvd, Del Rio, TX 78840, USA",0.06962381355995825,0
"BlueWave Edinburg 2 , 1382 W University Dr , Edinburg , TX , 78539",26.3027753,-98.1765981,BlueWave Express Car Wash,7.880197637770695e-13,"1382 W University Dr, Edinburg, TX 78539, USA",Taco Palenque University Dr,"1414 W University Dr, Edinburg, TX 78539, USA",0.02950800733699277,Auto Insurance,"Edinburg, TX 78542, USA",0.032989411340478544,Maritsa Tijerina: Allstate Insurance,"1310 W University Dr, Edinburg, TX 78539, USA",0.037532715547575535,"Chick-fil-A Edinburg, FSU","1360 W University Dr, Edinburg, TX 78539, USA",0.04327318291234334,National Guard,"W University Dr, Edinburg, TX 78539, USA",0.05982816376352829,0
"BlueWave Eldridge , 1665 Eldridge Pkwy , Houston , TX , 77077",29.7525822,-95.6249393,BlueWave Express Car Wash,0.0,"1665 Eldridge Pkwy, Houston, TX 77077, USA",Eldridge Pkwy @ Cresent Plaza North,"Houston, TX 77077, USA",0.020004484914615674,Eldridge Pkwy @ Cresent Plaza North,"Houston, TX 77077, USA",0.04945378816852808,The Taco Connection,"1635 Eldridge Pkwy #600, Houston, TX 77077, USA",0.053717690034360985,The Goddard School of Houston (Energy Corridor),"1720 Crescent Plaza Drive, Houston, TX 77077, USA",0.0578805458986645,Jersey Mike's Subs,"1635 Eldridge Pkwy Ste. 500, Houston, TX 77077, USA",0.05811542794439593,0
"BlueWave FM2920 , 5907 FM 2920 Rd , Spring , TX , 77388",30.0737484,-95.5076692,BlueWave Express Car Wash,7.606961149233696e-13,"5907 Farm to Market 2920, Spring, TX 77388, USA",Allstate Personal Financial Representative: Michael Porter,"5545 Farm to Market 2920, Spring, TX 77388, USA",0.0321970341805453,Starbucks,"5911 Farm to Market 2920, Spring, TX 77388, USA",0.03480279923662295,Brake Check,"5913 Farm to Market 2920, Spring, TX 77388, USA",0.05574303701359704,Great American Title,"5910 Farm to Market 2920, Spring, TX 77388, USA",0.05751345505049429,L’Encanto Event Venue,"5503 Farm to Market 2920, Spring, TX 77388, USA",0.058002271864997706,0
