full_site_address,Latitude,Longitude,nearby_traffic_lights_count,distance_nearest_traffic_light_1,distance_nearest_traffic_light_2,distance_nearest_traffic_light_3,distance_nearest_traffic_light_4,distance_nearest_traffic_light_5,distance_nearest_traffic_light_6,distance_nearest_traffic_light_7,distance_nearest_traffic_light_8,distance_nearest_traffic_light_9,distance_nearest_traffic_light_10
"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",32.6003451,-93.841208,4,0.128080482578132,0.16259878967589256,0.5440567450717317,0.682147185196144,,,,,,
"ALOHA CAR WASH , 5360 Laurel Springs Pkwy , Suwanee , GA , 30024",34.0855409,-84.16081,19,0.08264962027525657,0.7523986993821115,0.9855650438241582,1.141514305378326,1.1460397632002357,1.27923609772461,1.2894320695870174,1.3189578832256426,1.324197743808561,1.389567020357482
"AMERICAN CAR WASH , 1340 7th St W , Saint Paul , MN , 55102",44.9209521,-93.1360538,57,0.15358961789968797,0.25214994936840224,0.4113618716395738,0.4747313252137453,0.5396098177715836,0.5633707814148556,0.5930807901638223,0.6156023683452579,0.6617344306324129,0.7631942351768065
"AUTO WASH EXPRESS , 4060 MONTROSE ROAD , NIAGARA FALLS , ON , L2H1J9",43.1134283,-79.1236384,41,0.09028547955884955,0.0942510145744731,0.09955217126883166,0.2951396453629201,0.30903715588807656,0.406771465896226,0.6057391863221332,0.6500455125174653,0.6987369282518545,0.8125240753950957
"Abercorn , 10509 Abercorn St , Savannah , GA , 31419",31.9858522,-81.1330952,30,0.14458750559119843,0.2521656468847849,0.26403805184332446,0.3012893892566207,0.43082849635491727,0.5143698497490232,0.551194773292751,0.6658009677834523,0.7213199362340506,0.8752741252127599
"Adore Car Wash , 771-789 Barwon Heads Rd , Armstrong Creek , VIC , 3217",-38.2318383,144.3744484,4,0.3812615132843278,1.2302831583488556,1.5379815106481491,1.6530795252847432,,,,,,
"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",33.2331449,-86.8116296,9,0.22117331171885413,0.32803140688571997,0.4324466734390509,0.5100827417134102,0.5599265470299921,0.7154621682199157,1.250707293979934,1.5326496114825934,1.7790910179839432,
"Aladdin Car Wash , 1616 S 57th St , Temple , TX , 76504",31.088884,-97.3780292,46,0.34912113981028925,0.43216792393761794,0.5114558385931063,0.5404596894888397,0.5550244276755015,0.5828485158956371,0.5856591781207856,0.7053442531330711,0.7290231360370518,0.8774276028095929
"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",35.1891491,-106.6161158,25,0.06338905557555166,0.14269126768911575,0.35188065208536995,0.6318137832219898,0.6430264186777144,0.8525338546908401,0.9092665353509857,0.963290796144178,0.9730333376810779,1.0393140258804952
"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",37.4765837,-105.8945442,12,0.09791019439681627,0.3979271890541845,0.8579748558115445,1.249403300877057,1.2825596428147996,1.4293512695601405,1.458147771361211,1.489257832131073,1.67241167685093,1.6970136890422416
"All American Big Spring , 513 W Marcy Dr , Big Spring , TX , 79720",32.2284801,-101.4727633,19,0.1435213377146164,0.3997632791349821,0.5887705423905017,0.6592209320922328,0.8077305517867717,0.8232271417960703,1.1434996573691305,1.219399948518569,1.34757564358292,1.4072106140423006
"All American Boerne , 1376 S Main St , Boerne , TX , 78006",29.7768476,-98.726846,18,0.03549647599682758,0.22571717060386723,0.27650088656839694,0.5207388626755565,0.578631175948161,0.6462036793960023,0.7048831583225414,0.7158293996368051,0.7829177410236864,0.8602691751612502
"All American Bulverde , 22247 Bulverde Rd , San Antonio , TX , 78259",29.6478912,-98.4270091,22,0.08432209530787217,0.30787606987112187,0.50483820804932,0.666695150846155,0.6837084529199887,0.9833881814712254,1.0209315343432521,1.1640072038684757,1.1825267996443225,1.1846437437608903
