original_name_address,original_latitude,original_longitude,found_car_wash_name,satellite_image_name,feets_per_pixel,tunnel_length_pixels,tunnel_length_feets,
"Bella Stone Car Wash , 2413 Palermo Parkway , Temple , TX , 76502",31.0378299,-97.3912928,Bella Stone Car Wash,ChIJJ3Hqr_sVRYYR07aGKv3YjO0.jpg,0.41967399258251,357,149.823615351956,
"Berwick , 5702 Ogeechee rd , Savannah , GA , 31322",32.0285169,-81.2226747,LUV Car Wash,ChIJCwAfDUIK-4gRLHurvHH78FU.jpg,0.415244709820462,307,127.480125914882,
"Big Dan's Crystal River , 517 NE 5th St , Crystal River , FL , 34429",28.8986604,-82.5859672,Big Dan's Car Wash,ChIJUVDknB5B6IgRBh3RusqdyOk.jpg,0.428808127706123,305,130.786478950368,
"Big Dan's Fairburn , 7925 Senoia Rd , Fairburn , GA , 30213",33.5396761,-84.5776059,Big Dan's Car Wash,ChIJm-XndyTn9IgRWQPtKl6-B6U.jpg,0.408250170598175,316,129.007053909023,
"Big Dan's Hiram , 2850 Jimmy Lee Smith Pkwy , Hiram , GA , 30141",33.9019157,-84.77816,Big Dan's Car Wash,ChIJBczTjBsx9YgR_PAHlPV57Zw.jpg,0.406531884140727,331,134.562053650581,
"Big Dan's Lady Lake , 135 US-441 , Lady Lake , FL , 32159",28.9187793,-81.9229062,Big Dan's Car Wash,ChIJA3hrIhvH54gR1rztl0HFXKI.jpg,0.428724978111509,286,122.615343739892,
"Big Dan's Toccoa , 2421 GA 17Alt , Toccoa , GA , 30577",34.5655692,-83.29788,Big Dan's Car Wash,ChIJzfiTE-i9WIgRcU_72EE3ovc.jpg,0.403339408403306,not found,#VALUE!,
"Big Dan's Woodstock , 289 Ridgewalk Pkwy , Woodstock , GA , 30188",34.1195579,-84.5192049,Big Dan's Car Wash,ChIJ5UPmfXRv9YgR3jE-YsYPfUw.jpg,0.405488892315294,307,124.485089940795,
"Big Dan's Woodstock 2 , 300 Gold Creek Trail , Woodstock , GA , 30188",34.086258,-84.466738,Big Dan's Car Wash,ChIJ6aXY4tFt9YgR4OnKeujOTV0.jpg,0.405648724435077,285,115.609886463997,
"Big Kahuna CW , 61 Commodore St , Hazard , KY , 41701",37.299364,-83.2012171,Big Kahuna Car Wash,ChIJ6fSybA7JRIgRG6nHdlDPN0w.jpg,0.389626298624157,304,118.446394781744,
