original_address,competitors_count,competitor_1_distance_miles,competitor_1_google_rating,competitor_1_google_user_rating_count,competitor_2_distance_miles,competitor_2_google_rating,competitor_2_google_user_rating_count,competitor_3_distance_miles,competitor_3_google_rating,competitor_3_google_user_rating_count,competitor_4_distance_miles,competitor_4_google_rating,competitor_4_google_user_rating_count,competitor_5_distance_miles,competitor_5_google_rating,competitor_5_google_user_rating_count,competitor_6_distance_miles,competitor_6_google_rating,competitor_6_google_user_rating_count
"American Pride Newbern , 3810 New Bern Ave , Raleigh , NC , 27610",1,0.0327834707078797,4.6,116,,,,,,,,,,,,,,,
"American Pride Six Forks , 8909 Six Forks Rd , Raleigh , NC , 27615",0,,,,,,,,,,,,,,,,,,
"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",0,,,,,,,,,,,,,,,,,,
"Annau0027s Car Wash , 2332 Legacy Circle , Elizabeth , CO , 80107",0,,,,,,,,,,,,,,,,,,
"Apple Wu0026L , 22355 Bellaire Blvd , Richmond , TX , 77407",1,0.107539379796403,4.8,172,,,,,,,,,,,,,,,
"Aqua Blue , 85 Peachtree Industrial Blvd , Sugar Hill , GA , 30518",0,,,,,,,,,,,,,,,,,,
"Aqua Blue Duluth , 1097 Duluth Hwy , Lawrenceville , GA , 30043",1,0.527804706774196,3.9,907,,,,,,,,,,,,,,,
"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",1,0.796107931038085,3.5,95,,,,,,,,,,,,,,,
"Aqua Bubble Car Wash , 5860 Bethelview Rd , Cumming , GA , 30040",1,0.295020248353803,4.3,449,,,,,,,,,,,,,,,
"Arco Wash , 4433 Lancaster Dr NE , Salem , OR , 97305",0,,,,,,,,,,,,,,,,,,
"Atlantic Blvd , 8714 Atlantic Blvd , Jacksonville , FL , 32211",1,0.46230501127082,4.7,435,,,,,,,,,,,,,,,
"Atlantic Express , 7700 Atlantic Ave , Cudahy , CA , 90201",1,0.429113600400134,4.3,514,,,,,,,,,,,,,,,
"Auto Paradise Car Wash , 1402 E Vine St , Kissimmee , FL , 34744",1,0.985799500895577,,,,,,,,,,,,,,,,,
"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",1,0.921783976740067,3.7,108,,,,,,,,,,,,,,,
"AutoBrite Express , 211 N Cooper Dr , Henderson , NC , 27536",1,0.423889583370982,3,206,,,,,,,,,,,,,,,
"Autobahn Auto Care Center , 3928 W Clearwater Ave , Kennewick , WA , 99336",4,0.952193134750932,1,1,0.953887626045055,1,1,0.972915248095994,4.3,375,0.981891819689151,4.1,437,,,,,,
"Autobahn Express , 1225 Guyer Ave , Richland , WA , 99352",2,0.489131336941668,,,0.491054572771176,3.1,33,,,,,,,,,,,,
"Autosoak , 18711 S Gardner Rd , Gardner , KS , 66030",2,0.336722375991407,1.8,44,0.340692512231834,1.9,20,,,,,,,,,,,,
"Autosport Car Wash , 6628 Whittlesey Blvd , Columbus , GA , 31909",0,,,,,,,,,,,,,,,,,,
"Avatar , 1623 S Poinciana Blvd , Kissimmee , FL , 34758",0,,,,,,,,,,,,,,,,,,
"Aztec , 1520 Aztec Blvd , Aztec , NM , 87410",1,0.0993043329164726,3.2,89,,,,,,,,,,,,,,,
"B3 Car Wash , 611 Tenaha St , Center , TX , 75935",2,0.346742150613671,4.4,47,0.460292438133198,4.3,3,,,,,,,,,,,,
"BBCW , 6603 Jog Rd , Boca Raton , FL , 33496",1,0.794998431758421,2.7,66,,,,,,,,,,,,,,,
"BDPu0027s Kwapa Car Wash , 3200 W Casino Dr , Somerton , AZ , 85350",0,,,,,,,,,,,,,,,,,,
"BELMONT CAR WASH , 5594 E Belmont Ave , Fresno , CA , 93727",1,0.55853829144925,4.5,175,,,,,,,,,,,,,,,
"BIG STEVES CAR WASH , 561 North Main St , Leominster , MA , 1453",0,,,,,,,,,,,,,,,,,,
"BUCKEYE CAR WASH , 4521 KENNY RD , COLUMBUS , OH , 43220",0,,,,,,,,,,,,,,,,,,
"Balboa , 7959 Balboa Ave , San Diego , CA , 92111",5,0.310958099360096,4.5,618,0.427705113677855,2.6,24,0.480691198221667,4.8,56,0.606140140690934,4.8,1100,0.767000608257042,3.5,80,,,
"Bamboo Carwash , 240 Marketplace Blvd , Dawsonville , GA , 30534",1,0.363153918952426,4.3,620,,,,,,,,,,,,,,,
"Baymeadows , 9491 Baymeadows Rd , Jacksonville , FL , 32256",1,0.786172836399441,3.5,129,,,,,,,,,,,,,,,
"Beach u0026 Hodges , 13940 Beach Blvd , Jacksonville , FL , 32224",3,0.462135782396648,4.5,1100,0.511102430527264,5,1,0.720641605164662,4.5,1109,,,,,,,,,
"Beach Bum Express , 7602 El Camino Real , Carlsbad , CA , 92009",0,,,,,,,,,,,,,,,,,,
"Bella Stone Car Wash , 2413 Palermo Parkway , Temple , TX , 76502",0,,,,,,,,,,,,,,,,,,
"Benton - Congo Rd , 2620 Congo Rd , Benton , AR , 72019",0,,,,,,,,,,,,,,,,,,
"Bentonville - S Walton Blvd , 1005 S Walton Blvd , Bentonville , AR , 72712",1,0.0823434149480014,3.9,734,,,,,,,,,,,,,,,
"Bentonville - SW Regional Airport Rd , 1907 SW Regional Airport Blvd , Bentonville , AR , 72712",0,,,,,,,,,,,,,,,,,,
"Berwick , 5702 Ogeechee rd , Savannah , GA , 31322",0,,,,,,,,,,,,,,,,,,
"Big Danu0027s Acworth , 3150 Blue Springs Rd , Kennesaw , GA , 30144",2,0.484647702246785,4.8,234,0.823839781439393,2.9,9,,,,,,,,,,,,
"Big Danu0027s Albany , 375 N Slappey Blvd , Albany , GA , 31701",1,0.935645821708253,,,,,,,,,,,,,,,,,
"Big Danu0027s Bradenton 14th St , 6310 14th St W , Bradenton , FL , 34207",1,0.759026209814407,,,,,,,,,,,,,,,,,
"Big Danu0027s Bradenton 301 , 118 301 Blvd W , Bradenton , FL , 34205",4,0.392750540522258,3.5,26,0.399597043931882,2.8,11,0.399597043931882,3.4,814,0.914482926937587,3.4,56,,,,,,
"Big Danu0027s Columbia , 1027 Elmwood Ave , Columbia , SC , 29201",0,,,,,,,,,,,,,,,,,,
"Big Danu0027s Crystal River , 517 NE 5th St , Crystal River , FL , 34429",1,0.656704105644325,4.3,51,,,,,,,,,,,,,,,
"Big Danu0027s Dale Mabry , 7510 N Dale Mabry Hwy , Tampa , FL , 33614",2,0.338729555248255,3.8,918,0.609258150499056,4.2,1060,,,,,,,,,,,,
"Big Danu0027s Decatur , 6024 Covington Hwy , Decatur , GA , 30035",0,,,,,,,,,,,,,,,,,,
"Big Danu0027s Fairburn , 7925 Senoia Rd , Fairburn , GA , 30213",1,0.151211245512614,3.4,66,,,,,,,,,,,,,,,
"Big Danu0027s Hiram , 2850 Jimmy Lee Smith Pkwy , Hiram , GA , 30141",2,0.633611093940816,3.8,328,0.713114103960697,4.8,241,,,,,,,,,,,,
"Big Danu0027s John Young Pkwy , 12600 S John Young Pkwy , Orlando , FL , 32837",1,0.713989176472066,4.9,2410,,,,,,,,,,,,,,,
"Big Danu0027s Lady Lake , 135 US-441 , Lady Lake , FL , 32159",1,0.447564404868501,4.3,304,,,,,,,,,,,,,,,
"Big Danu0027s Lakewood Ranch , 10615 SR 64E , Bradenton , FL , 34212",0,,,,,,,,,,,,,,,,,,
"Big Danu0027s OBT , 6107 S Orange Blossom Trl , Orlando , FL , 32809",1,0.600229663125732,4.3,1526,,,,,,,,,,,,,,,
"Big Danu0027s Pinellas Park , 8201 US Hwy 19 N , Pinellas Park , FL , 33781",1,0.413572717522077,4.3,142,,,,,,,,,,,,,,,
"Big Danu0027s Rome , 18 Shorter Ave NW , Rome , GA , 30165",0,,,,,,,,,,,,,,,,,,
"Big Danu0027s Tarpon Springs , 39522 US Hwy 19 N , Tarpon Springs , FL , 34689",0,,,,,,,,,,,,,,,,,,
"Big Danu0027s Toccoa , 2421 GA 17Alt , Toccoa , GA , 30577",2,0.374011804598161,4.4,267,0.6455817883599,4,247,,,,,,,,,,,,
"Big Danu0027s Woodstock , 289 Ridgewalk Pkwy , Woodstock , GA , 30188",0,,,,,,,,,,,,,,,,,,
"Big Danu0027s Woodstock 2 , 300 Gold Creek Trail , Woodstock , GA , 30188",2,0.802495219887658,4.2,66,0.980309801357171,4.1,137,,,,,,,,,,,,
"Big DanÃ¢â‚¬â„¢s Bradenton , 5225 24th St E , Bradenton , FL , 34203",1,0.802340582792589,3.6,130,,,,,,,,,,,,,,,
"Big Kahuna CW , 61 Commodore St , Hazard , KY , 41701",0,,,,,,,,,,,,,,,,,,
"Big Peach Conyers , 1935 Hwy 138 SE , Conyers , GA , 30013",1,0.108758888734324,,,,,,,,,,,,,,,,,
"Big Peach Forsyth , 126 N Lee St , Forsyth , GA , 31029",0,,,,,,,,,,,,,,,,,,
"Big Peach Gray Hwy , 965 Gray Hwy , Macon , GA , 31211",0,,,,,,,,,,,,,,,,,,
"Big Peach Griffin , 1710 Zebulon Rd , Griffin , GA , 30224",0,,,,,,,,,,,,,,,,,,
"Big Peach Hardeman , 1820 Hardeman Ave , Macon , GA , 31201",1,0.936775466481413,3.7,3,,,,,,,,,,,,,,,
"Big Peach Jackson , 583 E 3rd St , Jackson , GA , 30233",0,,,,,,,,,,,,,,,,,,
"Big Peach Napier , 4461 Napier Ave , Macon , GA , 31210",0,,,,,,,,,,,,,,,,,,
"Big Peach Ola , 3479 Hwy 81 , McDonough , GA , 30252",0,,,,,,,,,,,,,,,,,,
"Big Peach Tallahassee , 3738 N Monroe St , Tallahassee , FL , 32303",0,,,,,,,,,,,,,,,,,,
"Big River Selma , 2409 N Broad St , Selma , AL , 36701",1,0.138865399952088,4.4,11,,,,,,,,,,,,,,,
"Big River Troy , 1221 US-231 , Troy , AL , 36081",2,0.456017621549831,4.4,797,0.460751153262181,,,,,,,,,,,,,,
"Big Sammyu0027s Car Wash Maple Shade , 491 Route 38 W , Maple Shade Township , NJ , 8052",0,,,,,,,,,,,,,,,,,,
"Big Sammyu0027s Car Wash Marlton , 801 Rte 70 W , Evesham , NJ , 8053",0,,,,,,,,,,,,,,,,,,
"Blanding u0026 Hyde , 3510 Blanding Blvd , Jacksonville , FL , 32210",2,0.469171157382522,,,0.991144517201086,3.9,183,,,,,,,,,,,,
"Blanding , 580 Blanding Blvd , Orange Park , FL , 32073",1,0.908983784537946,4.8,56,,,,,,,,,,,,,,,
"Blast Car Wash , 2525 Horizon Rd , Rockwall , TX , 75032",0,,,,,,,,,,,,,,,,,,
"Blu Palm Express , 8403 S Tamiami Trail , Sarasota , FL , 34238",1,0.25562842070487,4.8,247,,,,,,,,,,,,,,,
"Blu Wave Express Wash , 306 E Franklin St , Sylvester , GA , 31791",0,,,,,,,,,,,,,,,,,,
"Bluu0027s Flex Serve Car Wash , 420 S Main St , Lumberton , TX , 77657",2,0.464785049509253,4.5,418,0.965298414103922,,,,,,,,,,,,,,
"BluWave Car Wash , 17001 Three Oaks Marketplace Dr , Fort Myers , FL , 33912",0,,,,,,,,,,,,,,,,,,
"Blue Cow Car Wash , 10 Commons Way , Kalispell , MT , 59901",0,,,,,,,,,,,,,,,,,,
"Blue Diamond , 4620 Blue Diamond Rd , Las Vegas , NV , 89139",0,,,,,,,,,,,,,,,,,,
"Blue Iguana Chestnut , 3316 W Chestnut Expy , Springfield , MO , 65802",0,,,,,,,,,,,,,,,,,,
"Blue Iguana East Kearney , 2118 E Kearney St , Springfield , MO , 65803",1,0.4428850550161,4.2,851,,,,,,,,,,,,,,,
"Blue Iguana S. Campbell , 3155 S Campbell Ave , Springfield , MO , 65807",1,0.280480354072033,4.8,168,,,,,,,,,,,,,,,
"Blue Iguana South Fremont , 4304 S Fremont Ave , Springfield , MO , 65804",0,,,,,,,,,,,,,,,,,,
"Blue Iguana Sunshine , 1640 E Sunshine St , Springfield , MO , 65804",2,0.805935947808657,4,731,0.8692051518726,4.3,495,,,,,,,,,,,,
"Blue Iguana West Kearney , 1137 W Kearney St , Springfield , MO , 65803",2,0.345856619778724,4.5,65,0.609851861237325,4.8,466,,,,,,,,,,,,
"Blue Jay Car Wash , 2625 S McCall Rd , Englewood , FL , 34224",0,,,,,,,,,,,,,,,,,,
"Blue Penguin Douglasville , 5897 Fairburn Rd , Douglasville , GA , 30134",0,,,,,,,,,,,,,,,,,,
"Blue Penguin Griffin , 1475 N Expy , Griffin , GA , 30223",1,0.126987448969663,4,346,,,,,,,,,,,,,,,
"Blue Penguin Marietta , 2204 Roswell Rd , Marietta , GA , 30062",1,0.645947930223556,2.9,27,,,,,,,,,,,,,,,
"Blue Rhino Car Wash , 3614 Cobb Pkwy NW , Acworth , GA , 30101",2,0.00967509245777089,4.2,33,0.306335080163633,4.2,441,,,,,,,,,,,,
"Blue Sky Englewood , 3718 S Broadway , Englewood , CO , 80113",2,0.428980215268639,3,35,0.434108537978015,2.6,20,,,,,,,,,,,,
"BlueWave Alamo , 1101 US-83 BUS , Alamo , TX , 78516",1,0.2794973561952,4.7,323,,,,,,,,,,,,,,,
"BlueWave Alvin , 2002 E HWY 6 , Alvin , TX , 77511",1,0.321313542777519,4.9,1999,,,,,,,,,,,,,,,
"BlueWave Barker Cypress , 11720 Barker Cypress Rd , Cypress , TX , 77433",2,0.483154326417257,4.2,351,0.724150354964572,4.2,111,,,,,,,,,,,,
"BlueWave Beaumont , 3820 College St , Beaumont , TX , 77701",0,,,,,,,,,,,,,,,,,,
"BlueWave Bibb , 645 South Bibb Ave , Eagle Pass , TX , 78852",2,0.704082379441189,3,2,0.759332650282493,4.4,7,,,,,,,,,,,,
"BlueWave Brownsville , 7115 S Padre Island Hwy , Brownsville , TX , 78521",0,,,,,,,,,,,,,,,,,,
"BlueWave Brownsville 2 , 2180 Ruben M Torres Blvd , Brownsville , TX , 78526",5,0.241091900219864,4,146,0.296726021350257,4.5,142,0.30133479521582,4.3,40,0.336710641102722,5,1,0.458441804487921,4.9,1895,,,
"BlueWave Cibolo , 174 W Borgfeld Rd , Cibolo , TX , 78108",2,0.418427645025071,2.3,42,0.420416778123862,4.6,58,,,,,,,,,,,,
