full_site_address,nearestroad_1_name,distance_nearestroad_1,nearestroad_1_maxspeed,nearestroad_2_name,distance_nearestroad_2,nearestroad_2_maxspeed,nearestroad_3_name,distance_nearestroad_3,nearestroad_3_maxspeed,nearestroad_4_name,distance_nearestroad_4,nearestroad_4_maxspeed,nearestroad_5_name,distance_nearestroad_5,nearestroad_5_maxspeed,,,
"Floris Car Wash Econ , 1754 N Econlockhatchee Trail , Orlando , FL , 32825",East Colonial Drive,0.0698510416681778,45 mph,Dean Road,0.543653783861505,45 mph,Central Florida GreeneWay,0.739147018630547,70 mph,East-West Expressway,1.35881710399459,65 mph,Frontage Road,1.35893796625211,40 mph,,,
"FoamWorks Brunswick , 5200 Altama Ave , Brunswick , GA , 31525",Golden Isles Parkway,0.238627108843547,50 mph,Altama Connector,0.616870592618379,35 mph,Community Road,0.743441469638961,45 mph,Cypress Mill Road,0.7765972139191,45 mph,Old Cypress Mill Road,0.942995115729138,35 mph,,,
"FoamWorks Cordele , 1305 16th Ave E , Cordele , GA , 31015",16th Avenue East,0.042423745775595,35 mph,East 16th Avenue,0.0860042291111122,35 mph,East 20th Avenue,0.204877266131155,30 mph,Pecan Street South,0.215023165817049,35 mph,Fleming Road,0.358019094634129,35 mph,,,
"FoamWorks Hartley Bridge , 4701 Hartley Bridge Rd , Macon , GA , 31216",Hartley Bridge Road,0.0221263105790572,45 mph,Mount Pleasant Church Road,0.0852874275843152,45 mph,Frank Amerson Parkway,0.161899320130213,35 mph,Fall Line Freeway,0.335074668076315,70 mph,Old Skipper Road,0.521922411670347,45 mph,,,
"FoamWorks Lithia Springs , 369 Westfork Ct , Lithia Springs , GA , 30122",Thornton Road,0.0372113714240054,45 mph,Veterans Memorial Highway,0.552203461159505,45 mph,Peachtree Street,0.715573797809352,35 mph,Line Street,0.744893484801543,25 mph,Veterans Memorial Highway Southwest,0.750427637461731,35 mph,,,
"FoamWorks Riverside , 4780 Riverside Dr. , Macon , GA , 31201",Riverside Drive,0.0264654395830401,45 mph,Unnamed Road,0.117990920912402,70 mph,Sheraton Drive,0.163430089388125,25 mph,Bowman Boulevard,0.349113038081395,35 mph,Riverside Park Boulevard,0.41964578113942,35 mph,,,
"FoamWorks Thomaston , 5551 Thomaston Rd. , Macon , GA , 31220",Thomaston Road,0.0319500157524938,45 mph,Tucker Road,0.151044644071803,35 mph,Heath Road,0.151044644071803,45 mph,Moseley Dixon Road,0.260844907132531,45 mph,Cavalier Drive,0.301430409745023,45 mph,,,
"FoamWorks Vidalia , 203 Rigsbee Dr , Vidalia , GA , 30474",Virginia Way,0.035440766199156,25 mph,Rigsbee Drive,0.035440766199156,25 mph,1st Street,0.0447001246211153,45 mph,North Cheney Drive,0.192578450443406,25 mph,Rhodus Drive,0.219662511663689,25 mph,,,
"Foothills Car Wash , 5010 E Ray Rd , Phoenix , AZ , 85044",South 50th Street,0.012040364828616,25 mph,Maricopa Freeway,0.204733283852696,65 mph,West Ray Road,0.24266392285224,45 mph,East Lavender Lane,0.259652436130805,25 mph,South 47th Way,0.291868020003358,25 mph,,,
"Ford CarWash , 25535 Ford Rd , Dearborn Heights , MI , 48127",Ford Road,0.023092846875021,40 mph,North Gulley Road,0.0841372223560189,30 mph,Beech Daly Road,0.169079297087618,35 mph,North Silvery Lane,0.334188133658153,25 mph,North Franklin Street,0.397397237984503,25 mph,,,
"Forest City , 157 Plaza Dr , Forest City , NC , 28043",Oak Street Extension,0.091606631811956,45 mph,Unnamed Road,0.228550093032749,45 mph,Piney Ridge Road,0.312572021570161,35 mph,Oak Street,0.363276641874516,45 mph,Stony Brook Road,0.501214934850491,25 mph,,,
"Fort Lauderdale , 1075 W Sunrise Blvd , Fort Lauderdale , FL , 33311",West Sunrise Boulevard,0.0293404474116281,40 mph,Northwest 9th Avenue,0.202563907995915,40 mph,Northwest 7th Avenue,0.391440871650031,35 mph,Northwest 12th Avenue,0.523747041631101,25 mph,Northwest 15th Avenue,0.60437932056821,25 mph,,,
"Fort Smith - Highway 71 , 12114 US-71 , Fort Smith , AR , 72916",Unnamed Road,0.0733591415026616,55 mph,Graystone Drive,0.186875743028379,30 mph,Melody Lane,1.64746048482598,30 mph,Pine Way,1.67932811989739,30 mph,Windflower Lane,1.69914490494646,30 mph,,,
"Fort Smith - Massard Rd , 5800 Massard Rd , Fort Smith , AR , 72903",Royal Ridge Drive,0.259608769870028,30 mph,Alianna Way,0.909845694212387,30 mph,Fir Street,1.05446688739049,30 mph,Ash Place,1.05446688739049,30 mph,Hannah Court,1.08311761927352,10 mph,,,
"Frankieu0027s Car Wash Gilbert , 615 W Ray Rd , Gilbert , AZ , 85233",West Dublin Street,0.0525431101714922,25 mph,South Buchanan Street,0.0525431101714922,25 mph,West Twin Palms Lane,0.0752133463002196,25 mph,West Ray Road,0.0754642896111492,45 mph,South Quail Lane,0.0910903360363182,25 mph,,,
"Fresh Wash - Braselton , Exchange Way , Braselton , GA , 30517",Unnamed Road,0.345379139946478,70 mph,Green Street,0.443938652611034,45 mph,Lewis Braselton Boulevard,0.537984625604167,45 mph,Broadway Avenue,0.709996085371577,45 mph,Jesse Cronic Road,0.823293772479382,55 mph,,,
"Fresh Wash - Gainesville , 1051 E E Butler Pkwy , Gainesville , GA , 30501",E. E. Butler Parkway,0.0601427974264608,45 mph,Lanier Parkway,0.250971754379789,70 mph,Unnamed Road,0.831646268515715,15 mph,Jesse Jewell Parkway Southeast,1.05079695558295,35 mph,Jesse Jewell Parkway,1.10110116401716,45 mph,,,
"Ft Lauderdale , 1080 NW 31st Ave , Fort Lauderdale , FL , 33311",Northwest 31st Avenue,0.0148721530450767,35 mph,West Sunrise Boulevard,0.0838043028302773,45 mph,Frontage Road,0.842635128998436,25 mph,Northwest 23rd Avenue,0.930494010029565,35 mph,Unnamed Road,0.946571398514899,20 mph,,,
"Ft Walton -Beal , 794 Beal Pkwy NW , Fort Walton Beach , FL , 32547",Beal Parkway Northwest,0.0414872946845786,45 mph,Racetrack Road Northwest,0.206519990954631,45 mph,Unnamed Road,0.439414732042604,10 mph,Green Acres Road,0.645952186787334,25 mph,Hospital Drive,0.688963767724226,20 mph,,,
"Ft. Lupton , 120 Copper Pl. , Fort Lupton , CO , 80621",1st Street,0.0408494081437006,45 mph,State Highway 52,0.0408494081437006,45 mph,South Purman Avenue,0.132028371256657,25 mph,,,,,,,,,
"Fullerton Car Wash , 800 N Harbor Blvd , Fullerton , CA , 92832",North Harbor Boulevard,0.00996488944847918,35 mph,North Berkeley Avenue,0.101116470831259,35 mph,East Valleyview Drive,0.243175656103835,25 mph,North Lemon Street,0.247133874141607,30 mph,East Chapman Avenue,0.259189825586355,30 mph,,,
"Fusion Express CarWash , 760 Benetook Ave , Mildura , VIC , 3500",Fifteenth Street,0.0796343303464235,80,Unnamed Road,0.423231585720898,10,Olivewood Drive,0.644981208457402,50,Taminga Court,0.651895690996425,50,Alfred Close,0.736462227721984,50,,,
"GAWOO_Eagle , 2907 Eagle Dr , Woodstock , GA , 30189",Eagle Drive,0.0595503639926479,40 mph,Towne Lake Parkway,0.439681386247082,40 mph,Towne Lake Hills South Drive,0.487612608510762,35 mph,Running Deer Parkway,0.764230012456259,30 mph,Atherton Lane,0.885063127585687,35 mph,,,
"Galesburg , 334 E Carl Sandburg Dr , Galesburg , IL , 61401",Chicago-Kansas City Expressway,0.944966410096469,65 mph,Unnamed Road,1.52721997641318,70 mph,East Losey Street,1.55998713858636,30 mph,,,,,,,,,
"Gallo Car Wash , 3020 NW 13th St , Gainesville , FL , 32609",Northwest 13th Street,0.0347308560611868,45 mph,Unnamed Road,0.429496836023214,10 mph,Northwest 23rd Avenue,0.467434372383658,35 mph,Northeast 23rd Avenue,0.490941366258842,35 mph,Northwest 16th Terrace,0.510316034267725,30 mph,,,
"Gallup 49 , 1060 US-491 , Gallup , NM , 87301",Maloney Avenue,0.557895622273486,35 mph,Unnamed Road,0.665697667409298,65 mph,West Historic Highway 66,0.983171073163881,35 mph,West Aztec Avenue,1.07814005176729,15 mph,East Historic Highway 66,1.1106833313012,25 mph,,,
"Gallup 66 , 1300 E Historic Hwy 66 , Gallup , NM , 87301",East Historic Highway 66,0.0198723022280814,45 mph,Unnamed Road,0.234030138677467,65 mph,South Ford Drive,0.286892032095914,25 mph,Hasler Valley Road,0.350383754936643,35 mph,South 2nd Street,1.13920080917934,25 mph,,,
"Gardendale , 420 Fieldstown Rd , Gardendale , AL , 35071",Unnamed Road,0.698765942564685,70 mph,Shady Grove Road,1.55164409860752,35 mph,Shady Grove Lane,1.84188693290754,15 mph,,,,,,,,,
"Georgetown , 20945 N Dupont Blvd , Georgetown , DE , 19947",Dupont Boulevard,0.0389976264506248,55 mph,West North Street,0.173334857912725,25 mph,Bramhall Street,0.377163589334441,25 mph,School Lane,0.404520189467471,25 mph,West Market Street,0.404520189467471,25 mph,,,
"Glacier Express 24th St , 90 24th St W , Billings , MT , 59102",South 24th Street West,0.0192788529178031,35 mph,24th Street West,0.0344926118679482,35 mph,Central Avenue,0.140857125161341,35 mph,Unnamed Road,0.341532339917654,10 mph,Broadwater Avenue,0.359570475009377,35 mph,,,
"Glacier Express King Ave , 1832 King Ave W , Billings , MT , 59102",Unnamed Road,0.342455105740641,65 mph,South 24th Street West,0.621688162474655,35 mph,Main Street,0.811444950261995,15 mph,Prospect Drive,0.839440667893546,15 mph,Vista Drive,0.856436573162353,15 mph,,,
"Gloss Car Wash , 5712 Lawrenceville Hwy , Lilburn , GA , 30047",Unnamed Road,0.425996412390769,15 mph,Walnut Creek Drive Northwest,0.687766224199065,25 mph,Walnut Creek Court Northwest,0.712243859356955,25 mph,Mahogany Court Northwest,0.797436447558182,25 mph,,,,,,
"Go Clean Car Wash , 2315 Capital Cir NE , Tallahassee , FL , 32308",Capital Circle Northeast,0.031726836975843,45 mph,Dennis Street,0.105150065306056,25 mph,William Jones Lane,0.108004777157471,25 mph,Greer Court,0.173185312380773,25 mph,Dogwood Hill Road,0.177470588750796,25 mph,,,
"Go Clean Car Wash Eufaula , 1 Veteran Blvd , Eufaula , AL , 36027",South Eufaula Avenue,0.0272728651139111,55 mph,,,,,,,,,,,,,,,
"Go Clean Mobile City , 6658 Mobile Hwy , Pensacola , FL , 32526",Mobile Highway,0.0366540987495766,45 mph,Pine Forest Road,0.0737557472435613,45 mph,Unnamed Road,0.161696740964159,45 mph,Bridget Lane,0.360988580987323,30 mph,Wasatch Range Loop,0.501140242317581,30 mph,,,
"Go Clean Monroe , 3218 N Monroe St , Tallahassee , FL , 32303",Sessions Road,0.0322449325898034,25 mph,North Monroe Street,0.039190295924446,45 mph,Misty Garden Circle,0.184424806767904,25 mph,Misty Garden Way,0.185640461859208,25 mph,Vickers Road,0.216173759462544,10 mph,,,
"Go Clean Pensacola , 8897 Pensacola Blvd , Pensacola , FL , 32534",Pensacola Boulevard,0.0418139802409592,45 mph,West Hood Drive,0.0418139802409592,30 mph,Rose Avenue,0.0876434418782957,25 mph,Caro Street,0.0876434418782957,25 mph,Figland Avenue,0.116685664402093,25 mph,,,
"Go Green N Clean , 196 Onix Dr , Kennett Square , PA , 19348",East Baltimore Pike,0.0569512138361319,45 mph,Kennett-Oxford Bypass,0.0903484887370699,55 mph,Rosetree Lane,0.206794094768762,15 mph,Victoria Gardens Drive,0.242348564537934,15 mph,Arbor Lane,0.244681404817416,15 mph,,,
"Googie Anaheim , 1250 N Euclid St , Anaheim , CA , 92801",West Romneya Drive,0.0674578995865312,30 mph,Riverside Freeway,0.173598091904285,65 mph,West La Palma Avenue,0.30389135251245,35 mph,Unnamed Road,0.335256895685584,10 mph,Anaheim Shores,0.35087635289303,25 mph,,,
"Googie Whittier , 8016 Santa Fe Springs Rd. , Whittier , CA , 90602",Via Cierra,0.0132147305243803,5 mph,Santa Fe Springs Road,0.0197585805425445,40 mph,Whittier Boulevard,0.0410865631489819,35 mph,Washington Boulevard,0.0577930578817664,45 mph,Pickering Avenue,0.0577930578817664,40 mph,,,
"Grand Prix CW , 3080 San Pablo Dam Rd , San Pablo , CA , 94803",San Pablo Dam Road,0.016324277290845,35 mph,Eastshore Freeway,0.0773511875894228,65 mph,Amador Street,0.221081206093322,30 mph,Rollingwood Drive,0.413257640731017,25 mph,Shane Drive,0.522570931972988,25 mph,,,
"Grand Prix Express , 4069 San Pablo Dam Rd , El Sobrante , CA , 94803",San Pablo Dam Road,0.0139917037327054,35 mph,Appian Way,0.0939981107318512,35 mph,Barranca Street,0.482872664479842,15 mph,Eastshore Freeway,0.565320945471237,65 mph,Wilart Drive,0.639298866373872,25 mph,,,
"Granite Falls , Riverbend Club Point , Granite Falls , NC , 28630",Hickory Boulevard,1.13415700694441,55 mph,South Main Street,1.14586401098131,45 mph,,,,,,,,,,,,
"Grease Monkey 1116 , 5505 Bob Bullock Loop , Laredo , TX , 78041",Bob Bullock Loop,0.209619856401532,60 mph,Sinatra Parkway,0.348265568996871,35 mph,Jacaman Road,0.752903152638238,40 mph,Casa Verde Road,0.98561732942372,35 mph,Bartlett Avenue,1.22130606314833,35 mph,,,
"Great North Auto Wash , 2701 N Lincoln Rd , Escanaba , MI , 49829",US-2/US-41/M-35,0.0431912297458818,45 mph,North Lincoln Road,0.355587697914862,45 mph,North 3rd Street,0.434979667429116,35 mph,Danforth Road,0.72661782201177,55 mph,Unnamed Road,0.868689936384483,55 mph,,,
"Green Ocean Car Wash , 187 Teaticket Hwy , Falmouth , MA , 2536",Teaticket Highway,0.023829777459089,35 mph,Maravista Avenue,0.074573653321977,35 mph,Trotting Park Road,0.15948146836364,30 mph,Sandwich Road,0.178698136927955,35 mph,Maravista Avenue Extension,0.309584722093772,35 mph,,,
"Greenbrier - S Broadview St , 98 S Broadview St , Greenbrier , AR , 72058",South Broadview Street,0.0386686895565831,45 mph,North Broadview Street,0.775532968935531,40 mph,,,,,,,,,,,,
"Greenway Auto Wash , 3900 Owen Rd , Fenton , MI , 48430",Owen Road,0.0532005503494928,40 mph,Silver Parkway,0.155863284963715,35 mph,Unnamed Road,0.320867417989618,70 mph,Old US-23,0.561098566473949,55 mph,Runyan Road,0.577740607197118,50 mph,,,
"Grime Scene , 513 TX-114 , Levelland , TX , 79336",Unnamed Road,0.0376732500510623,50 mph,North Cedar Avenue,0.0604260168098596,30 mph,Oak Street,0.11837210408722,30 mph,Maple Street,0.177952818845458,30 mph,Truman Avenue,0.190545523164804,30 mph,,,
"Gwatzilla Car Wash , 1701 T P White Dr , Jacksonville , AR , 72076",T P White Drive,0.0329508527033139,35 mph,Unnamed Road,0.0482786268821491,70 mph,John Harden Drive,0.0704231696716401,35 mph,North 1st Street,0.071433267695875,35 mph,North J P Wright Loop Road,0.246514422257136,35 mph,,,
"H2GLO CAR WASH , 1905 Electric Rd , Cave Spring , VA , 24018",Electric Road Southwest,0.0295436760272521,45 mph,Electric Road,0.392220144414957,45 mph,Crestmoor Drive Southwest,0.951578983553712,25 mph,Keagy Road,1.02792161915795,25 mph,Cravens Creek Road Southwest,1.05642436193359,25 mph,,,
"H2O AUTO SPA , 2545 HYLAN BLVD , STATEN ISLAND , NY , 10306",Hylan Boulevard,0.0176610438674166,30 mph,New Dorp Lane,0.0857729920844537,25 mph,Dartmouth Loop,0.142423917329811,10 mph,Mill Road,0.230538896905436,25 mph,10th Street,0.254377235739202,25 mph,,,
"HAMPTON AUTO WASH , 296 W Montauk Hwy , Hampton Bays , NY , 11946",West Montauk Highway,0.102539408668105,40 mph,Jones Road,0.395061527116722,35 mph,Montauk Highway,0.395061527116722,40 mph,West Tiana Road,0.467928203743098,40 mph,Bellows Pond Road,0.670137448032055,40 mph,,,
"HIPPO CAR WASH , 510 W Bosanko Ave , Coeur du0027Alene , ID , 83815",Unnamed Road,0.0168197470680386,45 mph,North Government Way,0.265226117079448,35 mph,East Kathleen Avenue,0.370723037216252,35 mph,East Neider Avenue,0.400169823168063,35 mph,North 4th Street,0.573951241110755,35,,,
"HONDA WORLD , 1 Swope Autocenter Dr , Louisville , KY , 40299",Bunsen Parkway,0.0314373683238767,25 mph,South Hurstbourne Parkway,0.183077908865197,45 mph,Plantside Drive,0.413999317488972,35 mph,Taylorsville Road,0.440011593633736,45 mph,Six Mile Lane,0.463172909867103,35 mph,,,
"Hall of Fame Carwash , Gateway Blvd , Leland , NC , 28451",Ocean Highway East,0.107524793957388,45 mph,Andrew Jackson Highway,1.00162100174037,60 mph,Mallory Creek Drive,1.79040957272442,35 mph,Village Road Northeast,1.80541375314565,35 mph,Lee Drive,1.81359920730497,25 mph,,,
"Hampstead , 38 Dan Owen Dr , Hampstead , NC , 28443",Dan Owen Drive,0.0216471390951436,35 mph,Unnamed Road,0.0418085346142246,45 mph,Factory Road,0.142861649628191,35 mph,Peanut Road,0.148801160914396,35 mph,Lea Drive,0.319425477632726,35 mph,,,
"Happy Car Wash , 3690 Murphy Canyon Rd , San Diego , CA , 92123",Aero Drive,0.0862595170041062,45 mph,Daley Center Drive,0.136758008793766,35 mph,Ruffin Road,0.151188402707045,45 mph,Escondido Freeway,0.202214645658197,65 mph,West Canyon Avenue,0.347925470746139,45 mph,,,
"Happy Car Wash Albany , 527 NW North Albany Rd , Albany , OR , 97321",Northwest North Albany Road,0.0340582615652242,40 mph,Albany-Corvallis Highway,0.0584526993916523,40 mph,Ellsworth Street Northwest,Albany-Corvallis Highway,0.484560632555937,25 mph,Ellsworth Street Southwest,Albany-Corvallis Highway,0.498108881842329,35 mph,Lyon Street South,Albany-Corvallis Highway,0.507070260221236,30 mph
"Harper , 381 Harper Ln , Saint Johns , FL , 32259",Race Track Road,0.0404849404711553,45 mph,Dumfries Court,0.650130910155208,30 mph,North Durbin Parkway,0.727206846614632,30 mph,Veterans Parkway,1.10592003812979,45 mph,West Peyton Parkway,1.11917160608499,45 mph,,,
"Haverhill Street Lawrence , 469 Haverhill St , Lawrence , MA , 1841",Haverhill Street,0.0221118136186622,30 mph,May Street,0.0238419631987705,20 mph,Lowell Street,0.173004012224348,30 mph,Common Street,0.340809100362784,30 mph,Melrose Street,0.42776230678337,30 mph,,,
"Hercules/Elite Care Auto , 1401 Lexington Ave , Mansfield , OH , 44907",Lexington Avenue,0.0335744583333618,35 mph,South Trimble Road,0.0599448089199433,35 mph,Logan Road,0.16015500216266,25 mph,Middle Bellville Road,0.250968377123426,35 mph,West Cook Road,0.571176669838843,40 mph,,,
"Hernando , 2660 McIngvale Rd , Hernando , MS , 38632",Unnamed Road,0.1919136024885,70 mph,,,,,,,,,,,,,,,
"Heroes Car Wash Asheville , 2000 Hendersonville Rd , Asheville , NC , 28803",Hendersonville Road,0.0314233389348985,45 mph,Miller Road,0.0561917992990913,35 mph,Long Shoals Road,0.0786199908213937,45 mph,Pond Street,0.138237981511087,35 mph,Rathfarnham Road,0.240935920459971,35 mph,,,
"Heroes Car Wash Taylors 2900 , 2900 Wade Hampton Blvd , Taylors , SC , 29687",Wade Hampton Boulevard,0.0354909362502459,45 mph,Pinehurst Street,0.138779905754502,25 mph,East Lee Road,0.138779905754502,35 mph,Cardinal Drive,0.153773639434896,30 mph,Hale Drive,0.153947501142448,25 mph,,,
"Heroes Cary , 1370 NW Maynard Rd , Cary , NC , 27513",Northwest Maynard Road,0.032888667932607,45 mph,Dogwood Forest Drive,0.0605805231705565,25 mph,Waterford Forest Circle,0.0772920824910047,25 mph,Cole Canyon Court,0.144034119745332,25 mph,Cole Valley Drive,0.163451862296093,25 mph,,,
"Heroes Express 6050 , 6050 Wade Hampton Blvd , Taylors , SC , 29687",Wade Hampton Boulevard,0.0365460435410513,45 mph,South Suber Road,0.212102928244697,35 mph,West Wade Hampton Boulevard,0.213144434049554,45 mph,Fairview Road,0.330669449951359,35 mph,North Rutherford Road,0.381596564435067,35 mph,,,
"Heroes Express Pleasantburg , 3107 N Pleasantburg Dr , Greenville , SC , 29609",North Pleasantburg Drive,0.0176896806406048,45 mph,State Park Road,0.538022704386718,35 mph,Poinsett Highway,0.543145065239773,40 mph,Summit Drive,0.586850549358284,25 mph,North Main Street,0.624905853851999,30 mph,,,
"Heroes Express Salisbury , 1420 E Innes St , Salisbury , NC , 28146",East Innes Street,0.0245129303641362,35 mph,Stokes Ferry Road,0.065312004774263,45 mph,Market Station Drive,0.157230390866499,25 mph,Faith Road,0.236867781646283,45 mph,Unnamed Road,0.274038535878646,65 mph,,,
"Heroes Express Woodruff , 1405 Woodruff Rd , Greenville , SC , 29607",Woodruff Road,0.0320155123736154,45 mph,Smith Hines Road,0.0641871439259093,25 mph,Unnamed Road,0.412658282663836,55 mph,Golden Strip Freeway,0.42840283565105,65 mph,Verdin Road,0.437995071243112,35 mph,,,
"Hitech CP , 1675 Ave Victor M Labiosa , San Juan , FL , 926",Avenida Luis Muñoz Rivera,0.173013115647681,35 mph,Calle Ramón Emeterio Betances,0.178955537632239,35 mph,Avenida Juan Ponce de León,0.278659203541581,35 mph,Avenida Franklin Delano Roosevelt,0.518024870036276,35 mph,Expreso Jesús T. Piñero,0.526823317753068,50 mph,,,
"Homestead , 33513 S Dixie Hwy , Homestead , FL , 33034",South Dixie Highway,0.0402813784854484,45 mph,Northeast 7th Street,0.0950580378493946,30 mph,Unnamed Road,0.109444958978094,35 mph,Homestead Extension of Florida's Turnpike,0.137598047941159,35 mph,Southwest 177th Avenue,0.173378487262046,30 mph,,,
"Horn Lake , 1690 Goodman Rd , Horn Lake , MS , 38637",Unnamed Road,1.13124021213834,70 mph,,,,,,,,,,,,,,,
"Howell 2 , 4550 E Grand River Ave , Howell , MI , 48843",East Grand River Avenue,0.0513546170867827,50 mph,Unnamed Road,0.183413822114935,70 mph,Grand River Avenue,1.53764339593456,40 mph,Chilson Road,1.6467427964456,55 mph,,,,,,
"Huntsville , 1020 Pear Drive , Huntsville , TX , 77320",Unnamed Road,0.132242832591145,75 mph,,,,,,,,,,,,,,,
"Huntsville , 1624 Old Monrovia Rd NW , Huntsville , AL , 35806",Oakwood Road Northwest,0.0349071518356595,45 mph,Frontage Road,0.369866629839185,45 mph,Research Park Boulevard Northwest,0.381372662202855,65 mph,Old Monrovia Road Northwest,0.391047097030906,45 mph,Unnamed Road,0.399350539850964,45 mph,,,
"Huzzyu0027s Car Wash , 24005 Telegraph Rd , Flat Rock , MI , 48134",Struin Road,0.0300157763330531,25 mph,Telegraph Road,0.0374698736551023,50 mph,Van Horn Road,0.430947763780028,30 mph,Brighton Lane,0.499582479614038,25 mph,Brompton Road,0.550749296713641,25 mph,,,
"I-91 Express Wash , 168 Bridge St , East Windsor , CT , 6088",Bridge Street,0.0618641272515193,35 mph,Unnamed Road,0.0927519244640922,65 mph,Prospect Hill Road,0.0955761420280621,45 mph,North Road,0.0956521999598043,45 mph,Pleasant Road,0.390941287552829,25 mph,,,
"IKO Car Wash , 4450 S Pine Island Rd , Davie , FL , 33328",Southwest 44th Place,0.0573800101328582,25 mph,Southwest 84th Terrace,0.0576566142100384,25 mph,Orange Drive,0.064788982681452,45 mph,Southwest 44th Court,0.0826943294953377,25 mph,Southwest 83rd Way,0.0826943294953377,25 mph,,,
"Imperial Car Wash , 8795 Little Rd , New Port Richey , FL , 34654",Embassy Boulevard,0.466834044580834,30 mph,Hilltop Drive,0.475311043116071,30 mph,Ridge Road,0.579881155117106,45 mph,Waste Water Road,1.67200978621253,35 mph,Pasco County Access Road,1.79967129677739,20 mph,,,
"In and Out , 1430 N U.S. Hwy 41 , Ruskin , FL , 33570",Tamiami Trail,0.0384241481425715,45 mph,East College Avenue,1.23912889265771,45 mph,,,,,,,,,,,,
"In-N-Out Car Wash , 12883 US-68 , Kenton , OH , 43326",Fontaine Street,0.0679598849325162,45 mph,West Franklin Street,0.974042720267764,25 mph,Lima Street,0.978054239777596,35 mph,Scioto Valley Road,1.08219519006373,25 mph,North Detroit Street,1.08526919498063,25 mph,,,
"Indian Harbour , 600 E Eau Gallie Blvd , Indian Harbour , FL , 32937",East Eau Gallie Boulevard,0.0263183283882874,45 mph,Wallace Avenue,0.391922361014967,10 mph,Unnamed Road,0.479356860801643,10 mph,South Patrick Drive,0.481193357951704,40 mph,Eau Gallie Boulevard,0.481484143664873,45 mph,,,
"Indianola , 1807 N Jefferson Way , Indianola , IA , 50125",North Jefferson Way,0.0819102375887635,45 mph,South Jefferson Way,1.48495672347903,30 mph,,,,,,,,,,,,
"International Auto Spa , 4975 Clark Rd , Sarasota , FL , 34233",Clark Road,0.0233820310892153,45 mph,Palmer Plaza Boulevard,0.114139688561816,30 mph,Plaza Drive East,0.132518735996763,30 mph,Ashton Road,0.486787662177556,35 mph,Proctor Road,1.00132206175887,45 mph,,,
"International Golf , 100 Vlg Cmns Dr , St. Augustine , FL , 32092",Unnamed Road,0.0613480268514372,45 mph,FL 16,0.196794482127446,45 mph,State Highway 16,0.285759392579118,60 mph,Silverleaf Parkway,1.59324647534796,45 mph,,,,,,
"Intracoastal Car Wash , 2966 St Stephens Rd , Mobile , AL , 36612",Saint Stephens Road,0.0205793936813235,35 mph,Unnamed Road,0.355856870623447,35 mph,Rebel Road,1.24141687332653,45 mph,Lott Road,1.72640023636089,45 mph,South Wilson Avenue,1.89765370829325,20 mph,,,
"Irvine , 4550 Barranca Pkwy , Irvine , CA , 92604",Barranca Parkway,0.0853430164488646,50 mph,Alton Parkway,0.242707960170189,50 mph,Bridgewood,0.262926837855879,20 mph,West Yale Loop,0.372519078623908,40 mph,Stone Creek North,0.4111314532785,30 mph,,,
"JC AUTO WASH , 701 S Dewey St , North Platte , NE , 69101",South Dewey Street,0.477806044135127,40 mph,South Jeffers Street,0.481320111407783,40 mph,West Front Street,0.813488119736769,35 mph,South River Road,1.01589072840453,55 mph,Unnamed Road,1.11020047576507,75 mph,,,
"JJ Express Car Wash , 2185 US-70 , Thatcher , AZ , 85552",West Thatcher Boulevard,0.033497669615064,35 mph,West 8th Street,0.462818640323751,25 mph,Cobblestone Drive,0.672850617579165,25 mph,Flagstone Way,0.672850617579165,25 mph,Stone Willow Drive,0.708303600519197,25 mph,,,
"JJu0027s Car Wash Dickinson , 404 FM 517 W , Dickinson , TX , 77539",Gulf Freeway,0.483348034723549,65 mph,Stonecross Lane,1.13776989597668,30 mph,South Gulf Freeway,1.22004814394053,65 mph,Holland Road,1.79194337604131,45 mph,,,,,,
"JJu0027s Car Wash Friendswood , 2221 W Parkwood Ave , Friendswood , TX , 77546",San Joaquin Parkway,0.0330773873149967,20 mph,Cypress Point Drive,0.0426252002092137,20 mph,East Castle Harbour Drive,0.104127406082212,20 mph,Old Course Drive,0.151210045055901,20 mph,Gleneagles Drive,0.204568115623218,20 mph,,,
"JJu0027s Car Wash League City , 121 Maple Leaf Dr , League City , TX , 77573",Unnamed Road,0.0217784060442505,45 mph,Maple Leaf Drive,0.0316306423578367,30 mph,Westover Park Avenue,0.0697829991690896,30 mph,Whitehall Lane,0.150508222245451,25 mph,Whitehall Circle,0.195850444404382,25 mph,,,
"Jallo - Land O Lakes , 15474 State Rd 52 , Land Ou0027 Lakes , FL , 34638",State Road 52,0.0417481601252609,50 mph,Unnamed Road,0.389330981024706,50 mph,Suncoast Parkway,0.442414962583357,70 mph,Shady Hills Road,0.951521497749705,45 mph,,,,,,
"Jallo - Tarpon Springs , 38652 US Hwy 19 N , Tarpon Springs , FL , 34689",US Highway 19 North,0.0365647360251256,55 mph,US 19 Southbound Frontage Road,0.0504767568586725,35 mph,US 19 Northbound Frontage Road,0.05653940184121,35 mph,Unnamed Road,0.679083331761484,15 mph,North Belcher Road,0.775159835945603,45 mph,,,
"Jammin Car Wash , 21356 Walmart Way , Lutz , FL , 33548",Land O' Lakes Boulevard,0.0544646314192426,50 mph,Unnamed Road,0.409499082304036,50 mph,Daiquiri Lane,0.6024138418923,30 mph,Old Barn Court,0.620948996186331,10 mph,South Grove Loop,0.629995216773098,10 mph,,,
