full_site_address,Latitude,Longitude,cars_washed,nearby_traffic_lights_count,distance_nearest_traffic_light_1,distance_nearest_traffic_light_2,distance_nearest_traffic_light_3,distance_nearest_traffic_light_4,distance_nearest_traffic_light_5,distance_nearest_traffic_light_6,distance_nearest_traffic_light_7,distance_nearest_traffic_light_8,distance_nearest_traffic_light_9,distance_nearest_traffic_light_10
"Big Dan's Woodstock , 289 Ridgewalk Pkwy , Woodstock , GA , 30188",34.1195579,-84.5192049,131004,,,,,,,,,,,
"Big Dan's Woodstock 2 , 300 Gold Creek Trail , Woodstock , GA , 30188",34.086258,-84.466738,120921,,,,,,,,,,,
"Big Kahuna CW , 61 Commodore St , Hazard , KY , 41701",37.299364,-83.2012171,52106,2.0,0.0908241434998861,0.7664160834385781,,,,,,,,
"Big Peach Forsyth , 126 N Lee St , Forsyth , GA , 31029",33.0404585,-83.9400952,151078,6.0,0.0676540145226123,0.1055842870391156,0.3838040894209771,0.3922108873492439,0.4350097742798258,0.443643854175705,,,,
"Big Peach Jackson , 583 E 3rd St , Jackson , GA , 30233",33.2947224,-83.9602247,97714,9.0,0.0843639312849878,0.3614851091006617,0.3624426040719259,0.3669123419183779,0.3845769982670711,0.4126348582722389,0.4140369658301908,0.4336126749111754,0.5718777911837507,
"Big Peach Ola , 3479 Hwy 81 , McDonough , GA , 30252",33.4366472,-84.0385491,36510,1.0,0.4007341129900134,,,,,,,,,
"Big River Selma , 2409 N Broad St , Selma , AL , 36701",32.4325392,-87.0249312,106218,10.0,0.0875244301942614,0.2976649743205818,0.4105857960217393,0.4461209102924611,0.6191682620254719,0.628579394798741,0.7152834346622202,0.742551700810697,0.882855401167548,0.9602052223862048
"Big River Troy , 1221 US-231 , Troy , AL , 36081",31.7801113,-85.949913,91676,7.0,0.1567214575987086,0.2809321225582184,0.305066303963147,0.5531381779916862,0.6613215740658226,0.834552556851377,0.9164303836901672,,,
"Blanding , 580 Blanding Blvd , Orange Park , FL , 32073",30.1522001,-81.7514299,18130,9.0,0.173731307899132,0.2501555057006789,0.3883022792881749,0.5073968120831769,0.707257197512455,0.8744305006378377,0.9351483490094284,0.935836660903042,0.9717863255128092,
"Blu Wave Express Wash , 306 E Franklin St , Sylvester , GA , 31791",31.5301708,-83.8334232,57179,7.0,0.1184044614629672,0.2206198470112351,0.2418126431282109,0.3040214982234389,0.3093098018064175,0.481058365553188,0.6390516488996986,,,
"Blu's Flex Serve Car Wash , 420 S Main St , Lumberton , TX , 77657",30.2490469,-94.1977178,76418,,,,,,,,,,,
"Blue Penguin Griffin , 1475 N Expy , Griffin , GA , 30223",33.2738091,-84.2918572,113870,4.0,0.0605590735525531,0.1963132980764697,0.3574996611151096,0.8895643177181204,,,,,,
"Blue Rhino Car Wash , 3614 Cobb Pkwy NW , Acworth , GA , 30101",34.0440574,-84.6949093,16967,5.0,0.1463702814978158,0.3028376555892653,0.3594717573493262,0.5060068003401568,0.772901566850181,,,,,
"BlueWave Alvin , 2002 E HWY 6 , Alvin , TX , 77511",29.4218032,-95.2267778,3307,6.0,0.0902107279760221,0.1282683591899835,0.2933084656274003,0.5310160622339594,0.531830024413583,0.9113096371597136,,,,
