full_site_address,nearby_traffic_lights_count,distance_nearest_traffic_light_1,distance_nearest_traffic_light_2,distance_nearest_traffic_light_3,distance_nearest_traffic_light_4,distance_nearest_traffic_light_5,distance_nearest_traffic_light_6,distance_nearest_traffic_light_7,distance_nearest_traffic_light_8,distance_nearest_traffic_light_9,distance_nearest_traffic_light_10
"Autobahn Auto Care Center , 3928 W Clearwater Ave , Kennewick , WA , 99336",36,0.209180637507616,0.29285587632103,0.294202614005884,0.467935469574148,0.495262575377794,0.54887674479741,0.589180097092673,0.597123397250515,0.698854438562056,0.707181359176321
"Autobahn Express , 1225 Guyer Ave , Richland , WA , 99352",43,0.181983849507236,0.185216152359867,0.192252397060563,0.23441399507817,0.303111616169152,0.438935791105402,0.446977249039347,0.447933630579883,0.449862921516254,0.467712302556119
"Autosoak , 18711 S Gardner Rd , Gardner , KS , 66030",11,0.146916655975914,0.400868826309179,0.533358034006257,0.587947220391312,1.1106247347561,1.41842769833784,1.53717833987416,1.53930612040024,1.57192323162896,1.85242999171838
"Autosport Car Wash , 6628 Whittlesey Blvd , Columbus , GA , 31909",33,0.0371282877081197,0.218465502607316,0.381813583619191,0.3935733551752,0.422327800409656,0.469893088358553,0.484810759354655,0.55473244983361,0.55963270970761,0.680853873973791
"Avatar , 1623 S Poinciana Blvd , Kissimmee , FL , 34758",8,0.0568036846614381,0.144663227222814,0.913440970451587,1.01718078005152,1.38718556721599,1.58693285330314,1.67688706706798,1.96417806353995,,
"Aztec , 1520 Aztec Blvd , Aztec , NM , 87410",2,0.425797756426406,0.49326305726278,,,,,,,,
"B3 Car Wash , 611 Tenaha St , Center , TX , 75935",4,0.384434770028234,0.591276765511712,0.66023739323458,0.997456715984431,,,,,,
"BBCW , 6603 Jog Rd , Boca Raton , FL , 33496",29,0.0452352305159088,0.301303675380207,0.595495997671239,0.675303629930738,0.777445160901337,0.871517506592082,0.918865775103711,0.984426308422804,1.0042061735115,1.12765322673026
"BDPu0027s Kwapa Car Wash , 3200 W Casino Dr , Somerton , AZ , 85350",5,0.153549706364554,0.247241873273243,1.11719446761481,1.69282220280609,1.9225226489649,,,,,
"BELMONT CAR WASH , 5594 E Belmont Ave , Fresno , CA , 93727",40,0.031640906876575,0.138372199882098,0.242832219590142,0.477742631923631,0.511058095364153,0.967565136270781,0.978047752712532,0.98314793464255,1.00363660902638,1.0060142119842
"BIG STEVES CAR WASH , 561 North Main St , Leominster , MA , 1453",31,0.177289385302892,0.289814187067439,0.396797130311077,0.459212885184959,0.52873590216949,0.625765753508657,0.683194651382743,0.818937368700472,0.82799838594975,0.845975764394925
"BUCKEYE CAR WASH , 4521 KENNY RD , COLUMBUS , OH , 43220",49,0.0494581780744767,0.389393751915896,0.417224867025023,0.623528552957015,0.656044065786361,0.766710680267772,0.827519973837965,0.853524533144122,0.861974302348037,0.870809719435375
"Balboa , 7959 Balboa Ave , San Diego , CA , 92111",99,0.158697873294334,0.179662151104202,0.190621165068843,0.192345941403898,0.203227139888632,0.236235260438555,0.28836570607572,0.338332904551119,0.386108666315075,0.394891603145101
"Bamboo Carwash , 240 Marketplace Blvd , Dawsonville , GA , 30534",12,0.115850834010465,0.258522290611639,0.319383132419586,0.347999033500115,0.477651568760525,1.12152517163509,1.25005233638823,1.25517584577612,1.36770537951021,1.38089207231161
"Baymeadows , 9491 Baymeadows Rd , Jacksonville , FL , 32256",31,0.166184927780767,0.188835308578301,0.371591697612604,0.411633096656659,0.54746782928006,0.560355672772789,0.602288850611981,0.625118589345502,0.777871569810248,0.78662613061815
"Beach u0026 Hodges , 13940 Beach Blvd , Jacksonville , FL , 32224",13,0.109868886387225,0.164387743689166,0.525480902759716,0.540428815956002,0.733454651237082,0.847220851385254,1.09953313318638,1.5726301009872,1.62650885805202,1.68929640716616
"Beach Bum Express , 7602 El Camino Real , Carlsbad , CA , 92009",54,0.118810057361251,0.13614894469638,0.163186909985825,0.410805097936371,0.478288185759513,0.640877366312755,0.922846319716653,1.0097403657069,1.01337931240328,1.01766201529029
"Bella Stone Car Wash , 2413 Palermo Parkway , Temple , TX , 76502",4,0.0799544378046261,1.43803000133862,1.45743727182117,1.96703904343418,,,,,,
"Benton - Congo Rd , 2620 Congo Rd , Benton , AR , 72019",12,0.356668009495245,0.385043381654933,0.457895430574606,0.667892735046584,0.803090165914007,1.19239603035952,1.35478136367203,1.48670579213625,1.63493195731822,1.72784474853369
"Bentonville - S Walton Blvd , 1005 S Walton Blvd , Bentonville , AR , 72712",35,0.122605597943779,0.190769376930995,0.280623891922907,0.32831257155047,0.370801588071127,0.373621633934919,0.429538604482476,0.435719129736335,0.439329462911712,0.557087987548608
